,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/nil-stivenson/semievie/,Нил Стивенсон,Семиевие,False
2,/karen-uayt/muzyka-vetra/,Карен Уайт,Музыка ветра,False
3,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
4,/harlan-koben/edinozhdy-solgav/,Харлан Кобен,Единожды солгав,False
5,/eduard-verkin/ostrov-sahalin/,Эдуард Веркин,Остров Сахалин,False
6,/mishel-bussi/poka-ty-ne-spish-22457942/,Мишель Бюсси,Пока ты не спишь,True
7,/aleksandr-pushkin/evgeniy-onegin-5807213/,Александр Пушкин,Евгений Онегин,True
8,/yanush-korchak/korol-matiush-pervyy/,Януш Корчак,Король Матиуш Первый,False
9,/genri-haggard/kopi-carya-solomona-173402/,Генри Райдер Хаггард,Копи царя Соломона,True
10,/adam-ho/deti-i-dengi-kniga-dlya-roditeley-iz-strany-v-kotoroy-nauchilis-effektivno-upravlyat-finansami/,Адам Хо,"Дети и деньги. Книга для родителей из страны, в которой научились эффективно управлять финансами",False
11,/eduard-estivil/kak-nauchit-rebenka-spat-revolucionnyy-metod-doktora-estivilya/,Эдуард Эстивиль,Как научить ребенка спать. Революционный метод доктора Эстивиля,False
12,/meri-stuart/meri-i-vedmin-cvetok/,Мэри Стюарт,Мэри и ведьмин цветок,False
13,/oliver-bouden/assassin-s-creed-renessans/,Оливер Боуден,Assassin's Creed. Ренессанс,False
14,/genri-haggard/doch-montesumy-173346/,Генри Райдер Хаггард,Дочь Монтесумы,True
15,/e-kristensen/yoga-dlya-vseh-put-k-zdorovu-2/,Элис Кристенсэн,Йога для всех. Путь к здоровью,False
16,/bob-batchelor-15159760/sten-li-sozdatel-velikoy-vselennoy-marvel/,Боб Батчелор,Стэн Ли. Создатель великой вселенной Marvel,False
17,/ebbi-hanlon/znakomtes-dori/,Эбби Ханлон,"Знакомьтесь, Дори!",False
18,/luiza-hey/lubov-k-sebe-kak-put-k-zdorovu/,Луиза Хей,Любовь к себе как путь к здоровью,False
19,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
20,/holli-blek/spaydervik-hroniki/,Холли Блэк,Спайдервик. Хроники,False
21,/stefan-cveyg/neterpenie-serdca-18794887/,Стефан Цвейг,Нетерпение сердца,False
22,/vasiliy-kluchevskiy/istoricheskie-portrety-i-etudy-5311682/,Василий Осипович Ключевский,Исторические портреты и этюды,True
23,/zhul-vern/pyatnadcatiletniy-kapitan-sokraschennyy-pereskaz-173351/,Жюль Верн,Пятнадцатилетний капитан (сокращенный пересказ),True
24,/devid-ebehard/deti-u-vlasti-kak-my-rastim-malenkih-tiranov-kotorye-upravlyaut-nami/,Дэвид Эбехард,"Дети у власти: как мы растим маленьких тиранов, которые управляют нами",False
25,/aleksandr-pushkin/povesti-belkina-v-radiospektaklyah-173325/,Александр Пушкин,Повести Белкина в радиоспектаклях.,True
26,/vladimir-nabokov/strogie-suzhdeniya/,Владимир Набоков,Строгие суждения,False
27,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
28,/i-p-kuklina/tales-about-animals-skazki-i-rasskazy-o-zhivotnyh-kni-38005192/,И. П. Куклина,Tales about Animals / Сказки и рассказы о животных. Книга для чтения на английском языке,False
29,/aleksandr-duma/tri-mushketera-sokraschennyy-pereskaz-173319/,Александр Дюма,Три мушкетера (сокращенный пересказ),True
30,/brem-stoker/drakula-inscenirovka-173327/,Брэм Стокер,Дракула (инсценировка),True
31,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
