,Link,Author,Title,Is_Audio
0,/gregori-devid-roberts/shantaram/,Грегори Дэвид Робертс,Шантарам,False
1,/robert-gelbreyt/zov-kukushki/,Роберт Гэлбрейт,Зов кукушки,False
2,/dzheyms-klavell/segun/,Джеймс Клавелл,Сёгун,False
3,/elizabet-gilbert/est-molitsya-lubit/,Элизабет Гилберт,"Есть, молиться, любить",False
4,/zhan-kristof-granzhe/passazhir/,Жан-Кристоф Гранже,Пассажир,False
5,/devid-mitchell/oblachnyy-atlas/,Дэвид Митчелл,Облачный атлас,False
6,/vladimir-nabokov/dar/,Владимир Набоков,Дар,False
7,/marisha-pessl-8783026/nochnoe-kino/,Мариша Пессл,Ночное кино,False
8,/dafna-dumore/moya-kuzina-reychel/,Дафна дю Морье,Моя кузина Рейчел,False
9,/veronika-rot/divergent/,Вероника Рот,Дивергент,False
10,/patriciya-haysmit/talantlivyy-mister-ripli-19405295/,Патриция Хайсмит,Талантливый мистер Рипли,False
11,/chingiz-aytmatov/i-dolshe-veka-dlitsya-den/,Чингиз Айтматов,И дольше века длится день…,False
12,/hu-lori/torgovec-pushkami/,Хью Лори,Торговец пушками,False
13,/endru-nayderman/advokat-dyavola-17195016/,Эндрю Найдерман,Адвокат дьявола,False
14,/frederik-begbeder/99-frankov-17692474/,Фредерик Бегбедер,99 франков,True
15,/kadzuo-isiguro/hudozhnik-zybkogo-mira/,Кадзуо Исигуро,Художник зыбкого мира,False
16,/piter-meyl/god-v-provanse-6601039/,Питер Мейл,Год в Провансе,False
17,/dennis-liheyn/ostrov-proklyatyh/,Деннис Лихэйн,Остров Проклятых,False
18,/ashe-garrido/vidimo-nevidimo-2/,Аше Гарридо,Видимо-невидимо,False
19,/kristin-hanna/svetlyachok-nadezhdy/,Кристин Ханна,Светлячок надежды,False
