,Link,Author,Title,Is_Audio
0,/haled-hosseyni/beguschiy-za-vetrom/,Халед Хоссейни,Бегущий за ветром,False
1,/haled-hosseyni/tysyacha-siyauschih-solnc/,Халед Хоссейни,Тысяча сияющих солнц,False
2,/stig-larsson/devushka-s-tatuirovkoy-drakona/,Стиг Ларссон,Девушка с татуировкой дракона,False
3,/frank-tile/golovolomka/,Франк Тилье,Головоломка,False
4,/dzhon-boyn/malchik-v-polosatoy-pizhame/,Джон Бойн,Мальчик в полосатой пижаме,False
5,/fredrik-bakman/babushka-velela-klanyatsya-i-peredat-chto-prosit-p-29600550/,Фредрик Бакман,"Бабушка велела кланяться и передать, что просит прощения",True
6,/karl-richards/davay-pogovorim-o-tvoih-dohodah-i-rashodah/,Карл Ричардс,Давай поговорим о твоих доходах и расходах,False
7,/lourens-shorter/kniga-lenivogo-guru-potok-rezultaty-bez-usiliy-22078098/,Лоуренс Шортер,Книга ленивого гуру. Поток. Результаты. Без усилий,False
8,/richard-mateson/kuda-privodyat-mechty/,Ричард Матесон,Куда приводят мечты,False
9,/tess-gerritsen/dvoynik-155884/,Тесс Герритсен,Двойник,False
10,/timoti-ferris/kak-rabotat-po-chetyre-chasa-v-nedelu-21130719/,Тимоти Феррис,Как работать по четыре часа в неделю,True
11,/dzhoann-harris/shokolad/,Джоанн Харрис,Шоколад,False
12,/selen-yiger/bezzhalostnyy-kurs-trenirovok-dlya-celeustremlennyh/,Стейси Симс,Безжалостный курс тренировок для целеустремленных,False
13,/agata-kristi/ubiystvo-v-vostochnom-ekspresse-18922333/,Агата Кристи,Убийство в «Восточном экспрессе»,False
14,/evgeniya-levitan/workout-ya-mogu-tvoy-put-k-idealnomu-telu-bez-trenazherov-i-golodovok-26714063/,Евгения Левитан,Workout. Я Могу. Твой путь к идеальному телу: без тренажеров и голодовок,False
15,/robert-gelbreyt/zov-kukushki-8497926/,Роберт Гэлбрейт,Зов кукушки,True
16,/bleyk-krauch/temnaya-materiya/,Блейк Крауч,Темная материя,False
17,/dzhon-faulz/kollekcioner/,Джон Фаулз,Коллекционер,False
18,/gillian-flinn/ostrye-predmety/,Гиллиан Флинн,Острые предметы,False
19,/sergei-dovlatov/nashi/,Сергей Довлатов,Наши,False
20,/igor-mann/layfhak-na-kazhdyy-den/,Игорь Манн,Лайфхак на каждый день,False
21,/orson-skott-kard/igra-endera/,Орсон Скотт Кард,Игра Эндера,False
22,/robin-hobb/volshebnyy-korabl/,Робин Хобб,Волшебный корабль,False
