,Link,Author,Title,Is_Audio
0,/haled-hosseyni/beguschiy-za-vetrom/,Халед Хоссейни,Бегущий за ветром,False
1,/haled-hosseyni/tysyacha-siyauschih-solnc/,Халед Хоссейни,Тысяча сияющих солнц,False
2,/stig-larsson/devushka-s-tatuirovkoy-drakona/,Стиг Ларссон,Девушка с татуировкой дракона,False
3,/frank-tile/golovolomka/,Франк Тилье,Головоломка,False
4,/dzhon-boyn/malchik-v-polosatoy-pizhame/,Джон Бойн,Мальчик в полосатой пижаме,False
5,/fredrik-bakman/babushka-velela-klanyatsya-i-peredat-chto-prosit-p-29600550/,Фредрик Бакман,"Бабушка велела кланяться и передать, что просит прощения",True
6,/tess-gerritsen/dvoynik-155884/,Тесс Герритсен,Двойник,False
7,/richard-mateson/kuda-privodyat-mechty/,Ричард Матесон,Куда приводят мечты,False
8,/gillian-flinn/ostrye-predmety/,Гиллиан Флинн,Острые предметы,False
9,/dzhoann-harris/shokolad/,Джоанн Харрис,Шоколад,False
10,/marisha-pessl-8783026/nochnoe-kino/,Мариша Пессл,Ночное кино,False
11,/igor-mann/layfhak-na-kazhdyy-den/,Игорь Манн,Лайфхак на каждый день,False
12,/deyv-espri/biohaking-mozga-proverennyy-plan-maksimalnoy-prokachki-vashego/,Дэйв Эспри,Биохакинг мозга,False
13,/dzhon-faulz/kollekcioner/,Джон Фаулз,Коллекционер,False
14,/orson-skott-kard/igra-endera/,Орсон Скотт Кард,Игра Эндера,False
15,/robert-gelbreyt/zov-kukushki-8497926/,Роберт Гэлбрейт,Зов кукушки,True
16,/richard-mateson/ya-legenda/,Ричард Матесон,Я – легенда (сборник),False
17,/robin-hobb/volshebnyy-korabl/,Робин Хобб,Волшебный корабль,False
18,/anne-katrine-vestli/papa-mama-babushka-vosem-detey-i-gruzovik/,Анне-Катрине Вестли,"Папа, мама, бабушка, восемь детей и грузовик (сборник)",False
19,/dzhon-faulz/volhv/,Джон Фаулз,Волхв,False
20,/zhan-mishel-genassiya/klub-neispravimyh-optimistov/,Жан-Мишель Генассия,Клуб неисправимых оптимистов,False
21,/charlz-martin/mezhdu-nami-gory/,Чарльз Мартин,Между нами горы,False
22,/zhan-kristof-granzhe/bagrovye-reki/,Жан-Кристоф Гранже,Багровые реки,False
23,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
24,/u-nesbe/syn-22163699/,Ю Несбё,Сын,True
25,/amos-oz/iuda/,Амос Оз,Иуда,False
26,/tuve-yansson/malenkie-trolli-ili-bolshoe-navodnenie/,Туве Янссон,Маленькие тролли или большое наводнение,False
