,Link,Author,Title,Is_Audio
0,/robert-haynlayn/dver-v-leto/,Роберт Хайнлайн,Дверь в Лето,False
1,/tess-gerritsen/dvoynik-155884/,Тесс Герритсен,Двойник,False
2,/dzhon-faulz/kollekcioner/,Джон Фаулз,Коллекционер,False
3,/richard-mateson/kuda-privodyat-mechty/,Ричард Матесон,Куда приводят мечты,False
4,/bleyk-krauch/temnaya-materiya/,Блейк Крауч,Темная материя,False
5,/richard-mateson/ya-legenda/,Ричард Матесон,Я – легенда (сборник),False
6,/robin-hobb/volshebnyy-korabl/,Робин Хобб,Волшебный корабль,False
7,/tom-henks/unikalnyy-ekzemplyar-istorii-o-tom-o-sem/,Том Хэнкс,Уникальный экземпляр: Истории о том о сём,False
8,/aleksey-ivanovich-tolkachev/ekstremalnyy-taym-menedzhment-19151360/,Николай Мрочковский,Экстремальный тайм-менеджмент,True
9,/vladimir-nabokov/korol-dama-valet-15103341/,Владимир Набоков,"Король, дама, валет",True
10,/oleg-divov/simbionty-437105/,Олег Дивов,Симбионты,False
11,/martin-gilbert-2/cherchill-biografiya/,Мартин Гилберт,Черчилль. Биография,False
12,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
13,/richard-yeyts/doroga-peremen/,Ричард Йейтс,Дорога перемен,False
14,/ayzek-azimov/norbi/,Айзек Азимов,Норби (сборник),False
15,/filipp-mayer/syn-23925869/,Филипп Майер,Сын,True
16,/valentin-pikul/chest-imeu-chast-1-luchshe-byt-chem-kazatsya-27066877/,Валентин Пикуль,"Честь имею. Часть 1. Лучше быть, чем казаться",True
17,/stiven-kovi/7-navykov-vysokoeffektivnyh-semey-chast-1-10942989/,Стивен Кови,7 навыков высокоэффективных семей. Часть 1,True
18,/robert-harris/diktator/,Роберт Харрис,Диктатор,False
19,/zao-pupkin/dzhon-krakauer-v-dikih-usloviyah/,Джон Кракауэр,В диких условиях,False
20,/erik-emmanuel-shmitt/chelovek-kotoryy-videl-skvoz-lica/,Эрик-Эмманюэль Шмитт,"Человек, который видел сквозь лица",False
21,/aleksandr-belyaev/chelovek-amfibiya-22469414/,Александр Беляев,Человек – амфибия,True
22,/yosi-ginsberg/dzhungli-v-prirode-est-tolko-odin-zakon-vyzhivanie/,Йоси Гинсберг,Джунгли. В природе есть только один закон – выживание,False
23,/mett-ridli/evoluciya-vsego/,Мэтт Ридли,Эволюция всего,False
24,/sara-uoters/malenkiy-neznakomec/,Сара Уотерс,Маленький незнакомец,False
25,/rik-yansi/5-ya-volna/,Рик Янси,5-я волна,False
26,/stiv-alten/meg/,Стив Алтен,Мег,False
27,/viktor-astafev/pechalnyy-detektiv/,Виктор Астафьев,Печальный детектив,False
28,/roland-lazenbi/maykl-dzhordan-ego-vozdushestvo/,Роланд Лазенби,Майкл Джордан. Его Воздушество,False
29,/piter-dzheyms/alhimik/,Питер Джеймс,Алхимик,False
30,/grem-svift/zemlya-vody/,Грэм Свифт,Земля воды,False
31,/e-robertson/vzlomannye-nebesa/,Эл Робертсон,Взломанные небеса,False
32,/dzheyms-fenimor-kuper/zveroboy-4954520/,Джеймс Фенимор Купер,Зверобой,True
33,/kollektiv-avtorov/50-sobytiy-izmenivshih-mir-11816716/,Коллектив авторов,"50 событий, изменивших мир",True
34,/kollektiv-avtorov/zvezdnye-voyny-psihologiya-kinovselennoy/,Коллектив авторов,Звездные войны. Психология киновселенной,False
35,/anatoliy-rybakov/deti-arbata-kniga-pervaya-deti-arbata-8368186/,Анатолий Рыбаков,Дети Арбата. Книга первая. Дети Арбата,True
36,/luka-kayoli/velikoe-protivostoyanie-messi-vs-ronaldu/,Лука Кайоли,Великое противостояние. Месси vs Роналду,False
37,/charlz-dikkens/tayna-edvina-druda-132279/,Чарльз Диккенс,Тайна Эдвина Друда,False
38,/aleksandr-gromov/vychislitel-orbita-dlya-odnogo/,Александр Громов,Вычислитель. Орбита для одного,False
39,/visente-riva-palasio/piraty-karibskih-morey/,Висенте Рива Паласио,Пираты Карибских Морей,True
40,/agata-kristi/gonchaya-smerti/,Агата Кристи,Гончая смерти,False
41,/mihail-poluektov/lekciya-kak-spat-chtoby-vysypatsya-12547517/,Михаил Полуэктов,"Лекция «Как спать, чтобы высыпаться»",True
42,/bob-dilan/hroniki/,Боб Дилан,Хроники,False
43,/nik-perumov/posrednik/,Ник Перумов,Посредник,False
44,/daniil-lubimov/ekipazh/,Даниил Любимов,Экипаж,False
45,/dmitriy-bykov/portretnaya-galereya-vypusk-1-35743125/,Дмитрий Быков,Портретная галерея. Выпуск 1,True
46,/natalya-aleksandrova/svyaschennye-chudovischa/,Наталья Александрова,Священные чудовища,False
47,/aleksey-matveev/legendy-hokkeynogo-cska/,Алексей Матвеев,Легенды хоккейного ЦСКА,False
48,/rey-bredberi/mehanizmy-radosti/,Рэй Брэдбери,Механизмы радости (сборник),False
