,Link,Author,Title,Is_Audio
0,/haled-hosseyni/tysyacha-siyauschih-solnc/,Халед Хоссейни,Тысяча сияющих солнц,False
1,/haruki-murakami/hroniki-zavodnoy-pticy/,Харуки Мураками,Хроники Заводной Птицы,False
2,/stig-larsson/devushka-s-tatuirovkoy-drakona/,Стиг Ларссон,Девушка с татуировкой дракона,False
3,/gillian-flinn/ostrye-predmety/,Гиллиан Флинн,Острые предметы,False
4,/naydzhel-kamberlend/ne-zhaley-ni-o-chem-i-esche-99-pravil-schastlivyh-ludey/,Найджел Камберленд,Не жалей ни о чем. И еще 99 правил счастливых людей,False
5,/fredrik-bakman/babushka-velela-klanyatsya-i-peredat-chto-prosit-p-29600550/,Фредрик Бакман,"Бабушка велела кланяться и передать, что просит прощения",True
6,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
7,/charlz-martin/mezhdu-nami-gory/,Чарльз Мартин,Между нами горы,False
8,/igor-mann/layfhak-na-kazhdyy-den/,Игорь Манн,Лайфхак на каждый день,False
9,/tom-henks/unikalnyy-ekzemplyar-istorii-o-tom-o-sem/,Том Хэнкс,Уникальный экземпляр: Истории о том о сём,False
10,/viktor-pelevin/snuff-12244972/,Виктор Пелевин,S.N.U.F.F.,True
11,/muriel-barberi/elegantnost-ezhika/,Мюриель Барбери,Элегантность ёжика,False
12,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
13,/amos-oz/iuda/,Амос Оз,Иуда,False
14,/barbara-sher-2/rabota-tvoey-mechty-kak-zarabatyvat-dengi-zanimayas-lubimym/,Барбара Шер,"Работа твоей мечты. Как зарабатывать деньги, занимаясь любимым делом",False
15,/sara-dzhio/sredi-tysyachi-lic/,Сара Джио,Среди тысячи лиц,False
16,/maykl-finkel/ya-em-tishinu-lozhkami/,Майкл Финкель,Я ем тишину ложками,False
17,/sergey-kozlov/ezhik-v-tumane-i-drugie-skazki-6037426/,Сергей Козлов,Ёжик в тумане и другие сказки,True
18,/donald-tramp/dumay-kak-chempion-otkroveniya-magnata-o-zhizni-i-biznese/,Мередит Макивер,Думай как чемпион. Откровения магната о жизни и бизнесе,False
19,/fiona-ferris/30-shikarnyh-dney-plan-po-sozdaniu-zhizni-tvoey-mechty/,Фиона Феррис,30 шикарных дней: план по созданию жизни твоей мечты,False
20,/sara-uoters/tonkaya-rabota/,Сара Уотерс,Тонкая работа,False
21,/dina-rubina/pocherk-leonardo-6982222/,Дина Рубина,Почерк Леонардо,True
22,/sergey-stepanov/psihologicheskie-shpargalki-6706350/,Сергей Степанов,Психологические шпаргалки,True
23,/irvin-yalom/problema-spinozy/,Ирвин Ялом,Проблема Спинозы,False
24,/filipp-mayer/syn-23925869/,Филипп Майер,Сын,True
25,/meri-chemberlen/angliyskaya-portniha/,Мэри Чэмберлен,Английская портниха,False
26,/mariya-sharapova-12131437/neuderzhimaya-moya-zhizn/,Мария Шарапова,Неудержимая. Моя жизнь,False
27,/liza-eldridzh/kraski-istoriya-makiyazha-17205213/,Лиза Элдридж,Краски. История макияжа,False
28,/valeri-ostin/samogipnoz-kak-raskryt-svoy-potencial-ispolzuya-skrytye-vozmo/,Валери Остин,"Самогипноз. Как раскрыть свой потенциал, используя скрытые возможности разума",False
29,/diana-akerman/zhena-smotritelya-zooparka/,Диана Акерман,Жена смотрителя зоопарка,False
30,/vladimir-nabokov/blednyy-ogon/,Владимир Набоков,Бледный огонь,False
31,/nina-george/muzyka-lunnogo-sveta/,Нина Георге,Музыка лунного света,False
32,/tamara-eydelman/lekciya-igra-prestolov-kommentariy-istorika-23589163/,Тамара Эйдельман,Лекция «„Игра престолов“. Комментарий историка»,True
33,/maykl-fossel/telomeraza-kak-sohranit-molodost-ukrepit-zdorove-i-uvelichit/,Майкл Фоссел,"Теломераза. Как сохранить молодость, укрепить здоровье и увеличить продолжительность жизни",False
34,/erik-bertran-larssen/seychas-ne-upusti-moment-eto-vse-chto-u-tebya-est/,Эрик Ларссен,"Сейчас! Не упусти момент – это все, что у тебя есть",False
35,/mihay-chiksentmihayi/beguschiy-v-potoke-kak-poluchat-udovolstvie-ot-sporta/,Михай Чиксентмихайи,Бегущий в потоке,False
36,/grem-simsion/proekt-rozi-11132531/,Грэм Симсион,Проект «Рози»,True
37,/dmitriy-merezhkovskiy/voskresshie-bogi-leonardo-da-vinchi-173217/,Дмитрий Сергеевич Мережковский,Воскресшие боги Леонардо да Винчи,True
38,/kollektiv-avtorov/zvezdnye-voyny-psihologiya-kinovselennoy/,Коллектив авторов,Звездные войны. Психология киновселенной,False
39,/frensis-skott-ficdzh/velikiy-getsbi-kniga-dlya-chteniya-na-angliy-11977951/,Френсис Скотт Фицджеральд,Великий Гэтсби. Книга для чтения на английском языке,False
40,/natalya-osmann/followmeto-11950724/,Наталья Османн,#FOLLOWMETO!,False
41,/mihail-poluektov/lekciya-kak-spat-chtoby-vysypatsya-12547517/,Михаил Полуэктов,"Лекция «Как спать, чтобы высыпаться»",True
42,/bob-dilan/hroniki/,Боб Дилан,Хроники,False
43,/andrey-kurpatov/lekciya-krasnaya-tabletka-mozg-i-psihologiya-33831327/,Андрей Курпатов,Лекция «Красная таблетка. Мозг и психология»,True
44,/karl-lanc/nochnaya-dieta-20618104/,Карл Ланц,Ночная диета,True
45,/shon-smit/kim-golaya-pravda/,Шон Смит,Ким. Голая правда,False
