,Link,Author,Title,Is_Audio
0,/u-nesbe/netopyr-162774/,Ю Несбё,Нетопырь,False
1,/mariam-petrosyan/dom-v-kotorom-5/,Мариам Петросян,"Дом, в котором…",False
2,/edvard-rezerford/parizh/,Эдвард Резерфорд,Париж,False
3,/nassim-nikolas-taleb/odurachennye-sluchaynostu-o-skrytoy-roli-shansa-v-biz/,Нассим Николас Талеб,Одураченные случайностью,False
4,/tess-gerritsen/dvoynik-155884/,Тесс Герритсен,Двойник,False
5,/timoti-ferris/kak-rabotat-po-chetyre-chasa-v-nedelu-21130719/,Тимоти Феррис,Как работать по четыре часа в неделю,True
6,/piter-druker/effektivnyy-rukovoditel/,Питер Друкер,Эффективный руководитель,False
7,/artem-kamenistyy/pyat-zhizney-chitera/,Артем Каменистый,Пять жизней читера,False
8,/zhan-kristof-granzhe/lontano/,Жан-Кристоф Гранже,Лонтано,False
9,/frank-tile/pandemiya/,Франк Тилье,Пандемия,False
10,/selesta-ing/vse-chego-ya-ne-skazala/,Селеста Инг,"Все, чего я не сказала",False
11,/dzheyms-dzhoys/uliss/,Джеймс Джойс,Улисс,False
12,/dina-rubina/russkaya-kanareyka-golos-9998644/,Дина Рубина,Русская канарейка. Голос,True
13,/maykl-uilson/samodisciplina-razvitie-lichnosti/,Майкл Уилсон,Самодисциплина. Развитие личности,True
14,/mark-levi/ona-on/,Марк Леви,Она & Он,False
15,/keyt-menning/moya-nechestivaya-zhizn/,Кейт Мэннинг,Моя нечестивая жизнь,False
16,/kolm-toybin/bruklin/,Колм Тойбин,Бруклин,False
17,/maykl-mikalko/vzlom-kreativa-kak-uvidet-to-chto-ne-vidyat-drugie/,Майкл Микалко,Взлом креатива,False
18,/dzhon-grishem/ilon-mask-pravila-uspeha-22043782/,Илон Маск,Илон Маск. Правила успеха,True
19,/k-uest/p-s-ty-mne-nravishsya/,Кейси Уэст,P.S. Ты мне нравишься,False
20,/olesya-lihunova/hochesh-ya-budu-tvoey-mamoy/,Олеся Лихунова,"Хочешь, я буду твоей мамой?",False
21,/yon-kolfer/artemis-faul/,Йон Колфер,Артемис Фаул,False
22,/devid-mitchell/golodnyy-dom/,Дэвид Митчелл,Голодный дом,False
23,/vladimir-nabokov/kamera-obskura-9987675/,Владимир Набоков,Камера обскура,True
24,/un-ayvide-lindkvist/vpusti-menya/,Юн Айвиде Линдквист,Впусти меня,False
25,/solomon-nortap/12-let-rabstva-realnaya-istoriya-predatelstva-pohischeniya/,Соломон Нортап,"12 лет рабства. Реальная история предательства, похищения и силы духа",False
26,/erik-emmanuel-shmitt/chelovek-kotoryy-videl-skvoz-lica/,Эрик-Эмманюэль Шмитт,"Человек, который видел сквозь лица",False
27,/salli-torn/moy-lubimyy-vrag/,Салли Торн,Мой любимый враг,False
28,/dzhulian-barns/popugay-flobera-4/,Джулиан Барнс,Попугай Флобера,False
29,/filipp-mayer/syn-23925869/,Филипп Майер,Сын,True
30,/dzheffri-diver/sad-chudovisch/,Джеффри Дивер,Сад чудовищ,False
31,/ulian-semenov/semnadcat-mgnoveniy-vesny/,Юлиан Семенов,Семнадцать мгновений весны (сборник),False
32,/stiven-kovi/7-navykov-vysokoeffektivnyh-semey-chast-1-10942989/,Стивен Кови,7 навыков высокоэффективных семей. Часть 1,True
33,/nikolay-kun/legendy-i-mify-drevney-grecii-vypusk-i-5311685/,Николай Кун,Легенды и мифы Древней Греции. Выпуск I,True
34,/frederik-begbeder/lubov-zhivet-tri-goda-17043427/,Фредерик Бегбедер,Любовь живет три года,True
35,/luis-kerroll/alice-in-wonderland-alisa-v-strane-chudes-5311661/,Льюис Кэрролл,Alice in Wonderland / Алиса в стране чудес,True
36,/dzhennifer-linch/tvin-piks-taynyy-dnevnik-lory-palmer/,Дженнифер Линч,Твин-Пикс: Тайный дневник Лоры Палмер,False
37,/p-dzh-parker/velikolepnyy-vek-suleymana-i-hurrem-sultan/,П. Дж. Паркер,«Великолепный век» Сулеймана и Хюррем-султан,False
38,/nikolay-gogol/viy-5807210/,Николай Гоголь,Вий,True
39,/dina-rubina/koshki-v-ierusalime-15120407/,Дина Рубина,Кошки в Иерусалиме,True
40,/viktor-fon-hagen/acteki-mayya-inki-velikie-carstva-drevney-ameriki/,Виктор фон Хаген,"Ацтеки, майя, инки. Великие царства древней Америки",False
41,/dzhill-santopolo/svet-kotoryy-my-poteryali/,Джилл Сантополо,"Свет, который мы потеряли",False
42,/ivan-bunin/solnechnyy-udar-rasskaz-8481559/,Иван Бунин,Солнечный удар. рассказ,True
43,/aleksandr-kuprin/moloh-173513/,Александр Куприн,Молох,True
44,/emir-kusturica/sto-bed/,Эмир Кустурица,Сто бед (сборник),False
45,/mihail-zadornov/zadornoe-chtivo/,Михаил Задорнов,Задорное чтиво,False
46,/stefan-cveyg/novelly-5314585/,Стефан Цвейг,Новеллы,True
47,/yan-razdoburdin/aurveda-posobie-po-zhenskomu-zdorovu/,Ян Раздобурдин,Аюрведа. Пособие по женскому здоровью,False
48,/ivan-rasstegaev/uzbekskaya-kuhnya/,Иван Расстегаев,Узбекская кухня,False
49,/ivan-rasstegaev/gruzinskaya-kuhnya/,Иван Расстегаев,Грузинская кухня,False
50,/ivan-turgenev/shkolnaya-hrestomatiya-otcy-i-deti-5314576/,Иван Тургенев,Школьная хрестоматия. Отцы и дети,True
51,/dzhozef-konrad/serdce-tmy-173370/,Джозеф Конрад,Сердце тьмы,True
52,/mihail-reymarov/poznay-sebya-kak-dostigat-lubye-celi-21633720/,Михаил Реймаров,Познай себя. Как достигать любые цели,True
53,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
54,/kollektiv-avtorov/50-sobytiy-izmenivshih-mir-11816716/,Коллектив авторов,"50 событий, изменивших мир",True
55,/evgeniy-petrov/dvenadcat-stulev-606065/,Илья Ильф,Двенадцать стульев,False
56,/dzhon-grishem/istoriya-facebook-mark-cukerberg-pravila-uspeha-24395366/,Марк Цукерберг,История Facebook. Марк Цукерберг. Правила успеха,True
57,/arthur-konan-doyle/etud-v-bagrovyh-tonah-spektakl-5311697/,Артур Конан Дойл,Этюд в багровых тонах (спектакль),True
58,/frensis-skott-ficdzherald/lovi-moment-zavtra-umrem-30485983/,Френсис Скотт Фицджеральд,"Лови момент, завтра умрем (сборник)",False
59,/devid-duhovny/bryki-f-cking-dent-22074826/,Дэвид Духовны,Брыки F*cking Дент,True
60,/anna-moris/50-pravil-vospitaniya-detey/,Анна Морис,50 правил воспитания детей,True
61,/adriana-trizhiani/zhena-bashmachnika/,Адриана Трижиани,Жена башмачника,False
62,/stiven-fray/lzhec/,Стивен Фрай,Лжец,False
63,/petr-lovygin/babe-leto/,Петр Ловыгин,Бабье лето,True
64,/uilyam-gibson/virtualnyy-svet/,Уильям Гибсон,Виртуальный свет,False
