,Link,Author,Title,Is_Audio
0,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
1,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
2,/ekaterina-ostrovskaya/aktery-zatonuvshego-teatra/,Екатерина Островская,Актеры затонувшего театра,False
3,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
4,/boris-akunin/kladbischenskie-istorii-6449710/,Борис Акунин,Кладбищенские истории,True
5,/tess-gerritsen/hirurg-29610533/,Тесс Герритсен,Хирург,True
6,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
7,/erik-emmanuel-shmitt/chelovek-kotoryy-videl-skvoz-lica/,Эрик-Эмманюэль Шмитт,"Человек, который видел сквозь лица",False
8,/brayan-evenson/dead-space-muchenik/,Брайан К. Эвенсон,Dead Space. Мученик,False
9,/per-lemetr/tri-dnya-i-vsya-zhizn/,Пьер Леметр,Три дня и вся жизнь,False
10,/e-o-chirovici/kniga-zerkal/,Э. О. Чировици,Книга зеркал,False
11,/dzhennifer-linch/tvin-piks-taynyy-dnevnik-lory-palmer/,Дженнифер Линч,Твин-Пикс: Тайный дневник Лоры Палмер,False
12,/nikolay-gogol/viy-5807210/,Николай Гоголь,Вий,True
13,/gillian-flinn/kto-to-vzroslyy/,Гиллиан Флинн,Кто-то взрослый,False
14,/edgar-po/rasskazy-5317345/,Эдгар Аллан По,Рассказы,True
