,Link,Author,Title,Is_Audio
0,/zhul-vern/tainstvennyy-ostrov-spektakl-173380/,Жюль Верн,Таинственный остров (спектакль),True
1,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
2,/eduard-anatolevich-hruckiy/policeyskiy-28091881/,Эдуард Хруцкий,Полицейский,True
3,/dzhulian-fellouz/snoby/,Джулиан Феллоуз,Снобы,False
4,/suzen-hovach/bashnya-u-morya/,Сьюзен Ховач,Башня у моря,False
5,/uinston-grem/ross-poldark/,Уинстон Грэм,Росс Полдарк,False
6,/boris-dzhonson/faktor-cherchillya-kak-odin-chelovek-izmenil-istoriu/,Борис Джонсон,Фактор Черчилля. Как один человек изменил историю,False
7,/genri-haggard/doch-montesumy-173346/,Генри Райдер Хаггард,Дочь Монтесумы,True
8,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
9,/affiniti-konar/mischling-chuzhekrovka/,Аффинити Конар,Mischling. Чужекровка,False
10,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
11,/vasiliy-kluchevskiy/istoricheskie-portrety-i-etudy-5311682/,Василий Осипович Ключевский,Исторические портреты и этюды,True
12,/aleksandr-duma/tri-mushketera-sokraschennyy-pereskaz-173319/,Александр Дюма,Три мушкетера (сокращенный пересказ),True
13,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
14,/elison-ueyr/ekaterina-aragonskaya-istinnaya-koroleva/,Элисон Уэйр,Екатерина Арагонская. Истинная королева,False
