,Link,Author,Title,Is_Audio
0,/robert-haynlayn/dver-v-leto/,Роберт Хайнлайн,Дверь в Лето,False
1,/tom-henks/unikalnyy-ekzemplyar-istorii-o-tom-o-sem/,Том Хэнкс,Уникальный экземпляр: Истории о том о сём,False
2,/robin-hobb/volshebnyy-korabl/,Робин Хобб,Волшебный корабль,False
3,/zhan-mishel-genassiya/klub-neispravimyh-optimistov/,Жан-Мишель Генассия,Клуб неисправимых оптимистов,False
4,/tatyana-aleksandrova/domovenok-kuzka-spektakl-176830/,Татьяна Александрова,Домовенок Кузька (спектакль),True
5,/frank-tile/gataca-ili-proekt-feniks/,Франк Тилье,"Gataca, или Проект «Феникс»",False
6,/hanna-kent/vkus-dyma/,Ханна Кент,Вкус дыма,False
7,/kemeron-dias/kniga-o-dolgoletii/,Кэмерон Диас,Книга о долголетии,False
8,/devid-mitchell/tysyacha-oseney-yakoba-de-zuta-24971845/,Дэвид Митчелл,Тысяча осеней Якоба де Зута,False
9,/sara-uoters/tonkaya-rabota/,Сара Уотерс,Тонкая работа,False
10,/grem-simsion/proekt-rozi-2/,Грэм Симсион,Проект «Рози»,False
11,/nina-dashevskaya/okolo-muzyki-11131763/,Нина Дашевская,Около музыки,False
12,/mihay-chiksentmihayi/beguschiy-v-potoke-kak-poluchat-udovolstvie-ot-sporta/,Михай Чиксентмихайи,Бегущий в потоке,False
13,/andrey-kurpatov/lekciya-ludi-kotorye-zhivut-v-moey-golove-22477971/,Андрей Курпатов,"Лекция «Люди, которые живут в моей голове»",True
14,/meri-chemberlen/angliyskaya-portniha/,Мэри Чэмберлен,Английская портниха,False
15,/devid-grann/zateryannyy-gorod-z/,Дэвид Гранн,Затерянный город Z,False
16,/ien-kelli/viven-vestvud/,Иэн Келли,Вивьен Вествуд,False
17,/milica-edvinovna-mate/den-egipetskogo-malchika-7117311/,Милица Матье,День египетского мальчика,True
18,/nina-george/muzyka-lunnogo-sveta/,Нина Георге,Музыка лунного света,False
19,/dafna-dumore/bogema/,Дафна дю Морье,Богема,False
20,/k-klayn/kartina-mira/,Кристина Бейкер Клайн,Картина мира,False
21,/genri-miller/tropik-kozeroga-21240032/,Генри Миллер,Тропик Козерога,False
22,/dzheyms-fenimor-kuper/zveroboy-4954520/,Джеймс Фенимор Купер,Зверобой,True
23,/kordeliya-fayn/testosteron-reks-mify-i-pravda-o-gendernom-soznanii/,Корделия Файн,Тестостерон Рекс. Мифы и правда о гендерном сознании,False
24,/mihail-pylyaev/prichudy-i-strannosti-znamenityh-ludey-znamenitye-chudaki-i-originaly-173365/,Михаил Иванович Пыляев,Причуды и странности знаменитых людей. Знаменитые чудаки и оригиналы,True
25,/orhan-pamuk-2/chernaya-kniga/,Орхан Памук,Черная книга,False
26,/elena-pervushina/literaturnye-geroi-na-ulicah-peterburga-doma-sobytiya-adresa-personazhey-iz-lubimyh-proizvedeniy-russkih-pisateley/,Елена Первушина,"Литературные герои на улицах Петербурга. Дома, события, адреса персонажей из любимых произведений русских писателей",False
27,/zhan-mishel-genassiya/vals-derevev-i-neba/,Жан-Мишель Генассия,Вальс деревьев и неба,False
28,/dmitriy-merezhkovskiy/voskresshie-bogi-leonardo-da-vinchi-173217/,Дмитрий Сергеевич Мережковский,Воскресшие боги Леонардо да Винчи,True
29,/dzhulian-barns/artur-i-dzhordzh/,Джулиан Барнс,Артур и Джордж,False
30,/viktor-fon-hagen/acteki-mayya-inki-velikie-carstva-drevney-ameriki/,Виктор фон Хаген,"Ацтеки, майя, инки. Великие царства древней Америки",False
31,/kristin-chen-15431286/yoga-mezhdu-delom/,Кристин Чен,Йога между делом,False
32,/oskar-uayld/salomeya-salome-304952/,Оскар Уайльд,Саломея / Salome,True
33,/nadya-papudoglo/tyzhemat-materinstvo-po-pravilam-i-bez/,Надя Папудогло,#тыжемать. Материнство по правилам и без,False
34,/hloya-bendzhamin/bessmertniki-31724287/,Хлоя Бенджамин,Бессмертники,True
35,/stanislav-mihaylovich-olefir/kogda-ya-byl-malenkim-u-nas-byla-voyna-24266480/,Станислав Олефир,"Когда я был маленьким, у нас была война… (сборник)",False
36,/greg-shou/obnovit-stranicu-o-transformacii-microsoft-i-tehnologiyah-budusc/,Сатья Наделла,Обновить страницу. О трансформации Microsoft и технологиях будущего от первого лица,False
37,/nikolay-petrovich-starostin/futbol-skvoz-gody/,Николай Старостин,Футбол сквозь годы,False
