,Link,Author,Title,Is_Audio
0,/haled-hosseyni/tysyacha-siyauschih-solnc/,Халед Хоссейни,Тысяча сияющих солнц,False
1,/dzhon-boyn/malchik-v-polosatoy-pizhame/,Джон Бойн,Мальчик в полосатой пижаме,False
2,/edvard-rezerford/london/,Эдвард Резерфорд,Лондон,False
3,/lourens-shorter/kniga-lenivogo-guru-potok-rezultaty-bez-usiliy-22078098/,Лоуренс Шортер,Книга ленивого гуру. Поток. Результаты. Без усилий,False
4,/uill-gomperc/neponyatnoe-iskusstvo-ot-mone-do-benksi/,Уилл Гомперц,Непонятное искусство. От Моне до Бэнкси,False
5,/richard-mateson/kuda-privodyat-mechty/,Ричард Матесон,Куда приводят мечты,False
6,/timoti-ferris/kak-rabotat-po-chetyre-chasa-v-nedelu-21130719/,Тимоти Феррис,Как работать по четыре часа в неделю,True
7,/robert-gelbreyt/zov-kukushki-8497926/,Роберт Гэлбрейт,Зов кукушки,True
8,/igor-mann/layfhak-na-kazhdyy-den/,Игорь Манн,Лайфхак на каждый день,False
9,/dzhulian-barns/predchuvstvie-konca/,Джулиан Барнс,Предчувствие конца,False
10,/mark-levi/silnee-straha/,Марк Леви,Сильнее страха,False
11,/zhan-mishel-genassiya/klub-neispravimyh-optimistov/,Жан-Мишель Генассия,Клуб неисправимых оптимистов,False
12,/den-brule/prosto-dyshi-spokoystvie-garmoniya-zdorove-uspeh/,Дэн Брюле,Просто дыши. Спокойствие. Гармония. Здоровье. Успех,False
13,/barbara-sher-2/rabota-tvoey-mechty-kak-zarabatyvat-dengi-zanimayas-lubimym/,Барбара Шер,"Работа твоей мечты. Как зарабатывать деньги, занимаясь любимым делом",False
14,/tatyana-aleksandrova/domovenok-kuzka-spektakl-176830/,Татьяна Александрова,Домовенок Кузька (спектакль),True
15,/tuve-yansson/malenkie-trolli-ili-bolshoe-navodnenie/,Туве Янссон,Маленькие тролли или большое наводнение,False
16,/svetlana-aleksievich/u-voyny-ne-zhenskoe-lico-33387639/,Светлана Алексиевич,У войны не женское лицо,True
17,/piter-meyl/provans-ot-a-do-z-11838601/,Питер Мейл,Прованс от A до Z,False
18,/tuve-yansson/kogda-priletit-kometa-32529607/,Туве Янссон,Когда прилетит комета,True
19,/a-podell/pasport-cheloveka-mira-puteshestvie-skvoz-196-stran/,Альберт Поделл,Паспорт человека мира. Путешествие сквозь 196 стран,False
20,/sara-uoters/tonkaya-rabota/,Сара Уотерс,Тонкая работа,False
21,/dzhon-boyn/istoriya-odinochestva/,Джон Бойн,История одиночества,False
22,/mett-ridli/evoluciya-vsego/,Мэтт Ридли,Эволюция всего,False
23,/unis-teymurhanly/do-not-disturb-zapiski-otelera/,Юнис Теймурханлы,«Do not disturb». Записки отельера,False
24,/mark-tven/yanki-pri-dvore-korolya-artura-281912/,Марк Твен,Янки при дворе короля Артура,True
25,/devid-grann/zateryannyy-gorod-z/,Дэвид Гранн,Затерянный город Z,False
26,/viktor-dragunskiy/on-zhivoy-i-svetitsya-176834/,Виктор Драгунский,Он живой и светится,True
27,/orhan-pamuk-2/moi-strannye-mysli/,Орхан Памук,Мои странные мысли,False
28,/dzhenni-rankel/brak-bez-krika-i-ssor/,Хэл Эдвард Ранкел,Брак без крика и ссор,False
29,/milica-edvinovna-mate/den-egipetskogo-malchika-7117311/,Милица Матье,День египетского мальчика,True
30,/n-i-gorbunov/dom-na-hvoste-parovoza-putevoditel-po-evrope-v-skazkah-andersena/,Николай Горбунов,Дом на хвосте паровоза. Путеводитель по Европе в сказках Андерсена,False
31,/dina-rubina/shkola-sveta-5824130/,Дина Рубина,Школа света,True
32,/irvin-uelsh/tri-istorii-o-lubvi-i-himii/,Ирвин Уэлш,Три истории о любви и химии (сборник),False
33,/david-fridman/mendel-maranc-kniga-pervaya-vosstanie-zeldy-41305675/,Давид Фридман,Мендель Маранц. Книга первая. Восстание Зельды,True
34,/esper-uul/hugge-datskiy-detskiy-mir-mudrye-sovety-roditelyam-ot-psihologa-iz-samoy-schastlivoy-strany/,Еспер Юуль,Хюгге. Датский детский мир: мудрые советы родителям от психолога из самой счастливой страны,False
35,/zhan-mishel-genassiya/vals-derevev-i-neba/,Жан-Мишель Генассия,Вальс деревьев и неба,False
36,/piter-dzheyms/alhimik/,Питер Джеймс,Алхимик,False
37,/vladimir-kunin/russkie-na-marienplac-27101588/,Владимир Кунин,Русские на Мариенплац,True
38,/vladimir-nabokov/pisma-k-vere/,Владимир Набоков,Письма к Вере,False
39,/ivan-kokorev/ocherki-o-moskve-krugozor-audiokniga/,Иван Тимофеевич Кокорев,Очерки о Москве. Кругозор аудиокнига,True
40,/hloya-bendzhamin/bessmertniki-31724287/,Хлоя Бенджамин,Бессмертники,True
41,/elis-manro/tayna-ne-skrytaya-nikem/,Элис Манро,"Тайна, не скрытая никем (сборник)",False
42,/frederik-begbeder/lubov-zhivet-tri-goda-17043427/,Фредерик Бегбедер,Любовь живет три года,True
43,/karl-lanc/nochnaya-dieta-20618104/,Карл Ланц,Ночная диета,True
44,/enn-tayler/morgan-uskolzaet-26898022/,Энн Тайлер,Морган ускользает,True
45,/kris-teylor/kak-zvezdnye-voyny-pokorili-vselennuu-istoriya-sozdaniya-legendarnoy-kinosagi/,Крис Тейлор,Как «Звездные войны» покорили Вселенную. История создания легендарной киносаги,False
46,/dmitriy-bykov/portretnaya-galereya-vypusk-1-35743125/,Дмитрий Быков,Портретная галерея. Выпуск 1,True
47,/grem-hanter/barsa-kak-sozdavalas-luchshaya-komanda-v-mire/,Грэм Хантер,Барса. Как создавалась лучшая команда в мире,False
48,/grem-olkott-2/produktivnyy-nindzya-rabotay-luchshe-poluchay-bolshe-lubi-sv/,Грэм Олкотт,"Продуктивный ниндзя. Работай лучше, получай больше, люби свое дело",False
49,/liana-moriarti/bolshaya-malenkaya-lozh-23230091/,Лиана Мориарти,Большая маленькая ложь,True
