,Link,Author,Title,Is_Audio
0,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
1,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
2,/ludmila-martova/pervyy-shag-k-mechte/,Людмила Мартова,Первый шаг к мечте,False
3,/mariya-metlickaya/samye-rodnye-samye-blizkie/,Мария Метлицкая,"Самые родные, самые близкие (сборник)",False
4,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
5,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
6,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
7,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
8,/boris-akunin/kladbischenskie-istorii-6449710/,Борис Акунин,Кладбищенские истории,True
9,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
10,/dzho-fril/bibliya-velosipedista/,Джо Фрил,Библия велосипедиста,False
11,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
12,/aleksandr-pushkin/evgeniy-onegin-5807213/,Александр Пушкин,Евгений Онегин,True
13,/sara-edison-allen/saharnaya-koroleva/,Сара Эдисон Аллен,Сахарная королева,False
14,/aleksey-pehov/iskateli-vetra-19296921/,Алексей Пехов,Искатели ветра,True
15,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
16,/dzhuliya-kouv/luchshe-est-zhit-chuvstvovat-recepty-blud-kotorye-p-38276316/,Джулия Коув,"Лучше есть, жить, чувствовать! Рецепты блюд, которые помогут вам стать здоровыми и счастливыми",False
17,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
18,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
19,/orhan-pamuk-2/imya-mne-krasnyy-8673867/,Орхан Памук,Имя мне – Красный,False
20,/nikolay-leykin/v-gostyah-u-turok-42358694/,Николай Александрович Лейкин,Юмористическое описание поездки супругов Николая Ивановича и Глафиры Семеновны Ивановых через славянские земли в Константинополь,True
21,/neyt-kuper/kak-sozdat-sayt-komiks-putevoditel-po-html-css-i-wordp-40469918/,Нейт Купер,"Как создать сайт. Комикс-путеводитель по HTML, CSS и WordPress",False
22,/aleks-roulings-13329/kak-zagovorit-na-lubom-yazyke-uvlekatelnaya-metodika/,Алекс Роулингс,"Как заговорить на любом языке. Увлекательная методика, позволяющая быстро и эффективно выучить любой иностранный язык",False
23,/oleg-roy/zov-delfina/,Олег Рой,Зов дельфина,False
24,/kerol-medzhio/aerobika-dlya-kozhi-i-myshc-lica-kompleks-uprazhneniy-dlya-vosstanovleniya-molodosti-26347735/,Кэрол Мэджио,Аэробика для кожи и мышц лица. Комплекс упражнений для восстановления молодости,False
25,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
26,/tess-gerritsen/hirurg-29610533/,Тесс Герритсен,Хирург,True
