,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
2,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
3,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
4,/dina-rubina/russkaya-kanareyka-zheltuhin/,Дина Рубина,Русская канарейка. Желтухин,False
5,/rozamunda-pilcher/vozvraschenie-domoy/,Розамунда Пилчер,Возвращение домой,False
6,/zhul-vern/tainstvennyy-ostrov-spektakl-173380/,Жюль Верн,Таинственный остров (спектакль),True
7,/nil-stivenson/semievie/,Нил Стивенсон,Семиевие,False
8,/karen-uayt/muzyka-vetra/,Карен Уайт,Музыка ветра,False
9,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
10,/ludmila-martova/pervyy-shag-k-mechte/,Людмила Мартова,Первый шаг к мечте,False
11,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
12,/masha-traub/moya-babushka-lermontov/,Маша Трауб,Моя бабушка – Лермонтов,False
13,/anne-katrine-vestli/papa-mama-babushka-vosem-detey-i-gruzovik/,Анне-Катрине Вестли,"Папа, мама, бабушка, восемь детей и грузовик (сборник)",False
14,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
15,/mariya-metlickaya/samye-rodnye-samye-blizkie/,Мария Метлицкая,"Самые родные, самые близкие (сборник)",False
16,/eduard-verkin/ostrov-sahalin/,Эдуард Веркин,Остров Сахалин,False
17,/ayzek-azimov/konec-vechnosti-122306/,Айзек Азимов,Конец вечности,False
18,/sofi-kinsella/udivi-menya/,Софи Кинселла,Удиви меня,False
19,/keyt-atkinson/vitauschie-v-oblakah/,Кейт Аткинсон,Витающие в облаках,False
20,/yan-leopoldovich-larri/neobyknovennye-priklucheniya-karika-i-vali/,Ян Ларри,Необыкновенные приключения Карика и Вали,False
21,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
22,/nikolay-leykin/v-gostyah-u-turok-42358694/,Николай Александрович Лейкин,Юмористическое описание поездки супругов Николая Ивановича и Глафиры Семеновны Ивановых через славянские земли в Константинополь,True
23,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
24,/dzhulian-fellouz/snoby/,Джулиан Феллоуз,Снобы,False
25,/sara-edison-allen/saharnaya-koroleva/,Сара Эдисон Аллен,Сахарная королева,False
26,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
27,/luk-ollnatt/nebo-prinadlezhit-nam/,Люк Оллнатт,Небо принадлежит нам,False
28,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
29,/aleksey-pehov/iskateli-vetra-19296921/,Алексей Пехов,Искатели ветра,True
30,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
31,/terri-pratchett/strazha-strazha-33391565/,Терри Пратчетт,Стража! Стража!,True
32,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
33,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
34,/harlan-koben/edinozhdy-solgav/,Харлан Кобен,Единожды солгав,False
35,/orhan-pamuk-2/imya-mne-krasnyy-8673867/,Орхан Памук,Имя мне – Красный,False
36,/bernar-verber/zvezdnaya-babochka-9598677/,Бернар Вербер,Звездная бабочка,False
37,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
38,/mariya-metlickaya/vpolne-schastlivye-zhenschiny-37405364/,Мария Метлицкая,Вполне счастливые женщины (сборник),False
39,/yanush-korchak/korol-matiush-pervyy/,Януш Корчак,Король Матиуш Первый,False
