,Link,Author,Title,Is_Audio
0,/masha-traub/vtoroy-raz-v-pervyy-klass/,Маша Трауб,Второй раз в первый класс,False
1,/sofi-kinsella/udivi-menya/,Софи Кинселла,Удиви меня,False
2,/mariya-metlickaya/samye-rodnye-samye-blizkie/,Мария Метлицкая,"Самые родные, самые близкие (сборник)",False
3,/anne-katrine-vestli/papa-mama-babushka-vosem-detey-i-gruzovik/,Анне-Катрине Вестли,"Папа, мама, бабушка, восемь детей и грузовик (сборник)",False
4,/nikolay-leykin/v-gostyah-u-turok-42358694/,Николай Александрович Лейкин,Юмористическое описание поездки супругов Николая Ивановича и Глафиры Семеновны Ивановых через славянские земли в Константинополь,True
5,/mihail-zoschenko/umoristicheskie-rasskazy-14109750/,Михаил Зощенко,Юмористические рассказы,True
6,/anton-chehov/umoristicheskie-rasskazy-antoshi-chehonte-5317342/,Антон Чехов,Юмористические рассказы Антоши Чехонте,True
7,/yanush-korchak/korol-matiush-pervyy/,Януш Корчак,Король Матиуш Первый,False
8,/rudolf-erih-raspe/priklucheniya-barona-munhauzena-280192/,Рудольф Эрих Распе,Приключения барона Мюнхаузена,True
9,/viktor-dragunskiy/gde-eto-vidano-gde-eto-slyhano-176833/,Виктор Драгунский,"Где это видано, где это слыхано…",True
10,/meri-stuart/meri-i-vedmin-cvetok/,Мэри Стюарт,Мэри и ведьмин цветок,False
11,/dina-buholc/povarennaya-kniga-garri-pottera-bolee-150-volshebnyh-receptov/,Дина Бухольц,Поваренная книга Гарри Поттера. Более 150 волшебных рецептов для маглов и волшебников,False
12,/ebbi-hanlon/znakomtes-dori/,Эбби Ханлон,"Знакомьтесь, Дори!",False
13,/diana-uinn-dzhons/ogon-i-zaklyatie-ili-vosem-dney-s-lukom/,Диана Уинн Джонс,"Огонь и заклятие, или Восемь дней с Люком",False
14,/maykl-bond/medvezhonok-paddington-v-sadu/,Майкл Бонд,Медвежонок Паддингтон в саду,False
