,Link,Author,Title,Is_Audio
0,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
1,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
2,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
3,/zhul-vern/tainstvennyy-ostrov-spektakl-173380/,Жюль Верн,Таинственный остров (спектакль),True
4,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
5,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
6,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
7,/robin-hobb/ubiyca-shuta/,Робин Хобб,Убийца Шута,False
8,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
9,/orhan-pamuk-2/imya-mne-krasnyy-8673867/,Орхан Памук,Имя мне – Красный,False
10,/harlan-koben/edinozhdy-solgav/,Харлан Кобен,Единожды солгав,False
11,/mishel-bussi/poka-ty-ne-spish-22457942/,Мишель Бюсси,Пока ты не спишь,True
12,/genri-haggard/doch-montesumy-173346/,Генри Райдер Хаггард,Дочь Монтесумы,True
13,/bob-batchelor-15159760/sten-li-sozdatel-velikoy-vselennoy-marvel/,Боб Батчелор,Стэн Ли. Создатель великой вселенной Marvel,False
14,/terri-pratchett/strazha-strazha-33391565/,Терри Пратчетт,Стража! Стража!,True
15,/uolter-tevis/peresmeshnik/,Уолтер Тевис,Пересмешник,False
16,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
17,/gerbert-dzhordzh-uells/ostrov-doktora-moro-22208267/,Герберт Уэллс,Остров доктора Моро,True
18,/aleksandr-duma/tri-mushketera-sokraschennyy-pereskaz-173319/,Александр Дюма,Три мушкетера (сокращенный пересказ),True
19,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
