,Link,Author,Title,Is_Audio
0,/masha-traub/moya-babushka-lermontov/,Маша Трауб,Моя бабушка – Лермонтов,False
1,/mariya-metlickaya/samye-rodnye-samye-blizkie/,Мария Метлицкая,"Самые родные, самые близкие (сборник)",False
2,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
3,/oleg-roy/zov-delfina/,Олег Рой,Зов дельфина,False
4,/bernhard-shlink/letnie-obmany/,Бернхард Шлинк,Летние обманы,False
5,/meri-stuart/meri-i-vedmin-cvetok/,Мэри Стюарт,Мэри и ведьмин цветок,False
6,/mayk-viking/lykke-v-poiskah-sekretov-samyh-schastlivyh-ludey/,Майк Викинг,Lykke. В поисках секретов самых счастливых людей,False
7,/dina-buholc/povarennaya-kniga-garri-pottera-bolee-150-volshebnyh-receptov/,Дина Бухольц,Поваренная книга Гарри Поттера. Более 150 волшебных рецептов для маглов и волшебников,False
8,/sara-uinman/divnaya-kniga-istin/,Сара Уинман,Дивная книга истин,False
9,/viktoriya-tokareva/skazat-ne-skazat/,Виктория Токарева,Сказать – не сказать… (сборник),False
10,/shennon-leoni-fauler/puteshestvuya-s-priznakami-vdohnovlyauschaya-istoriya/,Шэннон Леони Фаулер,Путешествуя с призраками. Вдохновляющая история любви и поиска себя,False
