,Link,Author,Title,Is_Audio
0,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
1,/rozamunda-pilcher/vozvraschenie-domoy/,Розамунда Пилчер,Возвращение домой,False
2,/karen-uayt/muzyka-vetra/,Карен Уайт,Музыка ветра,False
3,/ayzek-azimov/konec-vechnosti-122306/,Айзек Азимов,Конец вечности,False
4,/dzhia-dzhiang/a-ya-tebya-net-kak-ne-boyatsya-otkazov-i-idti-naprolom-k-svo/,Джиа Джианг,А я тебя «нет». Как не бояться отказов и идти напролом к своей цели,False
5,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
6,/ludmila-martova/pervyy-shag-k-mechte/,Людмила Мартова,Первый шаг к мечте,False
7,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
8,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
9,/robin-hobb/ubiyca-shuta/,Робин Хобб,Убийца Шута,False
10,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
11,/eduard-verkin/ostrov-sahalin/,Эдуард Веркин,Остров Сахалин,False
12,/niki-segnit-10579857/tezaurus-vkusov/,Ники Сегнит,Тезаурус вкусов,False
13,/suzen-hovach/bashnya-u-morya/,Сьюзен Ховач,Башня у моря,False
14,/keyt-atkinson/vitauschie-v-oblakah/,Кейт Аткинсон,Витающие в облаках,False
15,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
16,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
17,/denis-celyh/romancev-pravda-obo-mne-i-spartake/,Денис Целых,Романцев. Правда обо мне и «Спартаке»,False
18,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
19,/adrian-shulte/kishechnik-kak-u-tebya-dela/,Адриан Шульте,Кишечник. Как у тебя дела?,False
20,/orhan-pamuk-2/imya-mne-krasnyy-8673867/,Орхан Памук,Имя мне – Красный,False
21,/mayk-viking/lykke-v-poiskah-sekretov-samyh-schastlivyh-ludey/,Майк Викинг,Lykke. В поисках секретов самых счастливых людей,False
22,/aleks-roulings-13329/kak-zagovorit-na-lubom-yazyke-uvlekatelnaya-metodika/,Алекс Роулингс,"Как заговорить на любом языке. Увлекательная методика, позволяющая быстро и эффективно выучить любой иностранный язык",False
23,/oleg-roy/zov-delfina/,Олег Рой,Зов дельфина,False
24,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
25,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
26,/martin-sey/zerkalnyy-vor/,Мартин Сэй,Зеркальный вор,False
27,/gerbert-dzhordzh-uells/chelovek-nevidimka-22208259/,Герберт Уэллс,Человек-невидимка,True
28,/bernar-verber/zvezdnaya-babochka-9598677/,Бернар Вербер,Звездная бабочка,False
29,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
30,/bob-batchelor-15159760/sten-li-sozdatel-velikoy-vselennoy-marvel/,Боб Батчелор,Стэн Ли. Создатель великой вселенной Marvel,False
31,/robert-haynlayn/iov-ili-komediya-spravedlivosti/,Роберт Хайнлайн,"Иов, или Комедия справедливости",False
32,/bernhard-shlink/zhenschina-na-lestnice/,Бернхард Шлинк,Женщина на лестнице,False
33,/elison-ueyr/ekaterina-aragonskaya-istinnaya-koroleva/,Элисон Уэйр,Екатерина Арагонская. Истинная королева,False
34,/mark-levi/mezhdu-nebom-i-zemley/,Марк Леви,Между небом и землей,False
35,/uolter-tevis/peresmeshnik/,Уолтер Тевис,Пересмешник,False
36,/alaster-reynolds/obrechennyy-mir/,Аластер Рейнольдс,Обреченный мир,False
37,/vladimir-nabokov/strogie-suzhdeniya/,Владимир Набоков,Строгие суждения,False
38,/robert-shekli/bilet-na-planetu-tranay-34997481/,Роберт Шекли,Билет на планету Транай (сборник),False
39,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
40,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
41,/sesiliya-ahern/lublu-tvoi-vospominaniya/,Сесилия Ахерн,Люблю твои воспоминания,False
42,/piter-meyl/almaznaya-avantura/,Питер Мейл,Алмазная авантюра,False
43,/chezare-lombrozo/zhenschina-prestupnica-i-prostitutka-173406/,Чезаре Ломброзо,Женщина – преступница и проститутка,True
44,/dzhennifer-linch/tvin-piks-taynyy-dnevnik-lory-palmer/,Дженнифер Линч,Твин-Пикс: Тайный дневник Лоры Палмер,False
45,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
46,/stiven-guld/teleport/,Стивен Гулд,Телепорт,False
47,/zhoze-saramago/dvoynik/,Жозе Сарамаго,Двойник,False
48,/shennon-leoni-fauler/puteshestvuya-s-priznakami-vdohnovlyauschaya-istoriya/,Шэннон Леони Фаулер,Путешествуя с призраками. Вдохновляющая история любви и поиска себя,False
