,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/robin-hobb/ubiyca-shuta/,Робин Хобб,Убийца Шута,False
2,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
3,/harlan-koben/edinozhdy-solgav/,Харлан Кобен,Единожды солгав,False
4,/nik-vuychich/bezgranichnost-50-urokov-kotorye-sdelaut-tebya-vozmutitelno-s/,Ник Вуйчич,"Безграничность. 50 уроков, которые сделают тебя возмутительно счастливым",False
5,/adel-faber/kak-govorit-s-detmi-chtoby-oni-uchilis-23118681/,Элейн Мазлиш,"Как говорить с детьми, чтобы они учились",False
6,/adam-ho/deti-i-dengi-kniga-dlya-roditeley-iz-strany-v-kotoroy-nauchilis-effektivno-upravlyat-finansami/,Адам Хо,"Дети и деньги. Книга для родителей из страны, в которой научились эффективно управлять финансами",False
7,/meri-stuart/meri-i-vedmin-cvetok/,Мэри Стюарт,Мэри и ведьмин цветок,False
8,/genri-haggard/kopi-carya-solomona-173402/,Генри Райдер Хаггард,Копи царя Соломона,True
9,/mishel-bussi/poka-ty-ne-spish-22457942/,Мишель Бюсси,Пока ты не спишь,True
10,/luiza-hey/lubov-k-sebe-kak-put-k-zdorovu/,Луиза Хей,Любовь к себе как путь к здоровью,False
11,/holli-blek/spaydervik-hroniki/,Холли Блэк,Спайдервик. Хроники,False
12,/oliver-bouden/assassin-s-creed-renessans/,Оливер Боуден,Assassin's Creed. Ренессанс,False
13,/mark-tven/princ-i-nischiy-spektakl-5317339/,Марк Твен,Принц и нищий (спектакль),True
14,/eduard-estivil/kak-nauchit-rebenka-spat-revolucionnyy-metod-doktora-estivilya/,Эдуард Эстивиль,Как научить ребенка спать. Революционный метод доктора Эстивиля,False
15,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
16,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
17,/mari-turell-soderberg/hugge-datskoe-iskusstvo-schastya/,Мари Турелл Содерберг,Хюгге. Датское искусство счастья,False
18,/devid-ebehard/deti-u-vlasti-kak-my-rastim-malenkih-tiranov-kotorye-upravlyaut-nami/,Дэвид Эбехард,"Дети у власти: как мы растим маленьких тиранов, которые управляют нами",False
19,/chezare-lombrozo/genialnost-i-pomeshatelstvo-5311699/,Чезаре Ломброзо,Гениальность и помешательство,True
20,/vasiliy-kluchevskiy/istoricheskie-portrety-i-etudy-5311682/,Василий Осипович Ключевский,Исторические портреты и этюды,True
21,/stefan-cveyg/neterpenie-serdca-18794887/,Стефан Цвейг,Нетерпение сердца,False
22,/brem-stoker/drakula-inscenirovka-173327/,Брэм Стокер,Дракула (инсценировка),True
23,/viktor-gugo/sobor-parizhskoy-bogomateri-sokraschennyy-pereskaz-173344/,Виктор Мари Гюго,Собор парижской Богоматери (сокращенный пересказ),True
24,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
25,/gustav-flober/gospozha-bovari-173339/,Гюстав Флобер,Госпожа Бовари,True
