,Link,Author,Title,Is_Audio
0,/haled-hosseyni/tysyacha-siyauschih-solnc/,Халед Хоссейни,Тысяча сияющих солнц,False
1,/stig-larsson/devushka-s-tatuirovkoy-drakona/,Стиг Ларссон,Девушка с татуировкой дракона,False
2,/frank-tile/golovolomka/,Франк Тилье,Головоломка,False
3,/dzhon-boyn/malchik-v-polosatoy-pizhame/,Джон Бойн,Мальчик в полосатой пижаме,False
4,/edvard-rezerford/parizh/,Эдвард Резерфорд,Париж,False
5,/haruki-murakami/hroniki-zavodnoy-pticy/,Харуки Мураками,Хроники Заводной Птицы,False
6,/dzhoann-harris/shokolad/,Джоанн Харрис,Шоколад,False
7,/dzhoan-ketlin-rouling/sluchaynaya-vakansiya/,Дж. К. Роулинг,Случайная вакансия,False
8,/viktor-pelevin/snuff-12244972/,Виктор Пелевин,S.N.U.F.F.,True
9,/igor-mann/layfhak-na-kazhdyy-den/,Игорь Манн,Лайфхак на каждый день,False
10,/sharlotta-cho/koreyskie-sekrety-krasoty/,Шарлотта Чо,Корейские секреты красоты,False
11,/aleksey-ivanovich-tolkachev/ekstremalnyy-taym-menedzhment-19151360/,Николай Мрочковский,Экстремальный тайм-менеджмент,True
12,/gillian-flinn/ostrye-predmety/,Гиллиан Флинн,Острые предметы,False
13,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
14,/dina-rubina/pocherk-leonardo-6982222/,Дина Рубина,Почерк Леонардо,True
15,/zhan-kristof-granzhe/bagrovye-reki/,Жан-Кристоф Гранже,Багровые реки,False
16,/u-nesbe/syn-22163699/,Ю Несбё,Сын,True
17,/dina-rubina/dzhentlmeny-i-sobaki-3951055/,Дина Рубина,Джентльмены и собаки,True
18,/enn-rays/intervu-s-vampirom/,Энн Райс,Интервью с вампиром,False
19,/betsi-cheys/krolichya-nora-ili-chto-my-znaem-o-sebe-i-vselennoy/,Уильям Арнтц,"Кроличья нора, или Что мы знаем о себе и Вселенной",False
20,/vera-polozkova/ostocherchenie-2/,Вера Полозкова,Осточерчение,False
21,/abdel-sellu/ty-izmenil-mou-zhizn-2/,Абдель Селлу,Ты изменил мою жизнь,False
22,/tamara-eydelman/lekciya-igra-prestolov-kommentariy-istorika-23589163/,Тамара Эйдельман,Лекция «„Игра престолов“. Комментарий историка»,True
23,/grem-svift/zemlya-vody/,Грэм Свифт,Земля воды,False
24,/saymon-tofild/kot-saymona/,Саймон Тофилд,Кот Саймона,False
25,/dzheyn-hoking/byt-hokingom/,Джейн Хокинг,Быть Хокингом,False
26,/frederik-begbeder/lubov-zhivet-tri-goda-17043427/,Фредерик Бегбедер,Любовь живет три года,True
27,/natalya-osmann/followmeto-11950724/,Наталья Османн,#FOLLOWMETO!,False
28,/kris-teylor/kak-zvezdnye-voyny-pokorili-vselennuu-istoriya-sozdaniya-legendarnoy-kinosagi/,Крис Тейлор,Как «Звездные войны» покорили Вселенную. История создания легендарной киносаги,False
29,/deyv-krenshou/mif-o-mnogozadachnosti-k-chemu-privodit-stremlenie-uspet-vse/,Дэйв Креншоу,Миф о многозадачности. К чему приводит стремление успеть все,False
30,/grem-olkott-2/produktivnyy-nindzya-rabotay-luchshe-poluchay-bolshe-lubi-sv/,Грэм Олкотт,"Продуктивный ниндзя. Работай лучше, получай больше, люби свое дело",False
31,/irina-shlionskaya/samye-zagadochnye-mesta-planety/,Ирина Шлионская,Самые загадочные места планеты,False
