,Link,Author,Title,Is_Audio
0,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
1,/dina-rubina/russkaya-kanareyka-zheltuhin/,Дина Рубина,Русская канарейка. Желтухин,False
2,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
3,/dzhoann-harris/pyat-chetvertinok-apelsina/,Джоанн Харрис,Пять четвертинок апельсина,False
4,/haruki-murakami/o-chem-ya-govoru-kogda-govoru-o-bege/,Харуки Мураками,"О чем я говорю, когда говорю о беге",False
5,/karen-uayt/muzyka-vetra/,Карен Уайт,Музыка ветра,False
6,/ayzek-azimov/konec-vechnosti-122306/,Айзек Азимов,Конец вечности,False
7,/nil-stivenson/semievie/,Нил Стивенсон,Семиевие,False
8,/zhul-vern/tainstvennyy-ostrov-spektakl-173380/,Жюль Верн,Таинственный остров (спектакль),True
9,/masha-traub/moya-babushka-lermontov/,Маша Трауб,Моя бабушка – Лермонтов,False
10,/yan-leopoldovich-larri/neobyknovennye-priklucheniya-karika-i-vali/,Ян Ларри,Необыкновенные приключения Карика и Вали,False
11,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
12,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
13,/anne-katrine-vestli/papa-mama-babushka-vosem-detey-i-gruzovik/,Анне-Катрине Вестли,"Папа, мама, бабушка, восемь детей и грузовик (сборник)",False
14,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
15,/boris-akunin/kladbischenskie-istorii-6449710/,Борис Акунин,Кладбищенские истории,True
16,/dzhulian-fellouz/snoby/,Джулиан Феллоуз,Снобы,False
17,/aleksandr-pushkin/evgeniy-onegin-5807213/,Александр Пушкин,Евгений Онегин,True
18,/sara-edison-allen/saharnaya-koroleva/,Сара Эдисон Аллен,Сахарная королева,False
19,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
20,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
21,/orhan-pamuk-2/imya-mne-krasnyy-8673867/,Орхан Памук,Имя мне – Красный,False
22,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
23,/nikolay-leykin/v-gostyah-u-turok-42358694/,Николай Александрович Лейкин,Юмористическое описание поездки супругов Николая Ивановича и Глафиры Семеновны Ивановых через славянские земли в Константинополь,True
24,/aleks-roulings-13329/kak-zagovorit-na-lubom-yazyke-uvlekatelnaya-metodika/,Алекс Роулингс,"Как заговорить на любом языке. Увлекательная методика, позволяющая быстро и эффективно выучить любой иностранный язык",False
