,Link,Author,Title,Is_Audio
0,/diana-setterfild/trinadcataya-skazka-8920377/,Диана Сеттерфилд,Тринадцатая сказка,True
1,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
2,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
3,/boris-akunin/kladbischenskie-istorii-6449710/,Борис Акунин,Кладбищенские истории,True
4,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
5,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
6,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
7,/tess-gerritsen/hirurg-29610533/,Тесс Герритсен,Хирург,True
8,/nikolay-leykin/v-gostyah-u-turok-42358694/,Николай Александрович Лейкин,Юмористическое описание поездки супругов Николая Ивановича и Глафиры Семеновны Ивановых через славянские земли в Константинополь,True
9,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
10,/rudolf-erih-raspe/priklucheniya-barona-munhauzena-280192/,Рудольф Эрих Распе,Приключения барона Мюнхаузена,True
11,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
12,/dzhek-london/belyy-klyk-spektakl-5314569/,Джек Лондон,Белый Клык (спектакль),True
13,/ketrin-stokett/prisluga-35895435/,Кэтрин Стокетт,Прислуга,True
14,/terri-pratchett/strazha-strazha-33391565/,Терри Пратчетт,Стража! Стража!,True
15,/fridrih-nicshe/tak-govoril-zaratustra-301242/,Фридрих Вильгельм Ницше,Так говорил Заратустра,True
16,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
17,/edgar-po/rasskazy-5317345/,Эдгар Аллан По,Рассказы,True
18,/evgeniy-gagloev/gorod-temnyh-sekretov-29019477/,Евгений Гаглоев,Пандемониум . Город темных секретов,True
19,/enn-tayler/udocheryaya-ameriku-34023366/,Энн Тайлер,Удочеряя Америку,True
20,/fedor-dostoevskiy/hrestomatiya-prestuplenie-i-nakazanie-5314593/,Федор Достоевский,Хрестоматия. Преступление и наказание,True
21,/chezare-lombrozo/genialnost-i-pomeshatelstvo-5311699/,Чезаре Ломброзо,Гениальность и помешательство,True
22,/viktor-gugo/sobor-parizhskoy-bogomateri-sokraschennyy-pereskaz-173344/,Виктор Мари Гюго,Собор парижской Богоматери (сокращенный пересказ),True
23,/zhul-vern/vokrug-sveta-za-80-dney-sokraschennyy-pereskaz-5317173/,Жюль Верн,Вокруг света за 80 дней (сокращенный пересказ),True
