,Link,Author,Title,Is_Audio
0,/tom-demarko/deadline-roman-ob-upravlenii-proektami/,Том ДеМарко,Deadline. Роман об управлении проектами,False
1,/genri-ford/moya-zhizn-moi-dostizheniya-145037/,Генри Форд,"Моя жизнь, мои достижения",False
2,/deyv-grey/liminalnoe-myshlenie/,Дейв Грей,Лиминальное мышление. Как перейти границы своих убеждений,False
3,/yona-berger/zarazitelnyy-psihologiya-sarafannogo-radio-kak-produkty-i-idei-stanovyatsya-populyarnymi-2/,Йона Бергер,Заразительный. Психология сарафанного радио. Как продукты и идеи становятся популярными,False
4,/maykl-mikalko/vzlom-kreativa-kak-uvidet-to-chto-ne-vidyat-drugie/,Майкл Микалко,Взлом креатива,False
5,/renat-shagabutdinov/zaryazhen-na-100-energiya-zdorove-sport/,Ренат Шагабутдинов,Заряжен на 100 %,False
6,/lourens-shorter/kniga-lenivogo-guru-potok-rezultaty-bez-usiliy-22078098/,Лоуренс Шортер,Книга ленивого гуру. Поток. Результаты. Без усилий,False
7,/oueyn-servis/nachinay-s-malogo/,Оуэйн Сервис,Начинай с малого,False
8,/dzhek-uelch/vmesto-mba-poleznye-sovety-ot-legendarnyh-menedzherov/,Джек Уэлч,Вместо MBA. Полезные советы от легендарных менеджеров,False
9,/bo-berlingem/bolshaya-igra-v-biznes-edinstvennyy-razumnyy-sposob-upravleniya-kompaniey/,Джек Стэк,Большая игра в бизнес. Единственный разумный способ управления компанией,False
10,/sergey-stepanov/iskusstvo-videt-ludey-naskvoz/,Сергей Степанов,Искусство видеть людей насквозь,True
11,/sergey-stepanov/kak-ne-ostupitsya-na-karernoy-lestnice/,Сергей Степанов,Как не оступиться на карьерной лестнице,True
12,/piter-druker/praktika-menedzhmenta/,Питер Друкер,Практика менеджмента,False
13,/artur-bendzhamin/magiya-chisel-momentalnye-vychisleniya-v-ume-i-dr-8498526/,Артур Бенджамин,Магия чисел. Моментальные вычисления в уме и другие математические фокусы,False
14,/set-godin/fioletovaya-korova-sdelayte-svoy-biznes-vydauschimsya/,Сет Годин,Фиолетовая корова. Сделайте свой бизнес выдающимся!,False
