,Link,Author,Title,Is_Audio
0,/deyv-espri/biohaking-mozga-proverennyy-plan-maksimalnoy-prokachki-vashego/,Дэйв Эспри,Биохакинг мозга,False
1,/igor-mann/layfhak-na-kazhdyy-den/,Игорь Манн,Лайфхак на каждый день,False
2,/mihay-chiksentmihayi/beguschiy-v-potoke-kak-poluchat-udovolstvie-ot-sporta/,Михай Чиксентмихайи,Бегущий в потоке,False
3,/mett-ridli/evoluciya-vsego/,Мэтт Ридли,Эволюция всего,False
4,/aleksandr-kolmanovskiy/lekciya-pro-psihotip-i-uverennost-v-sebe-29411189/,Александр Колмановский,Лекция «Про психотип и уверенность в себе»,True
5,/andrey-kurpatov/lekciya-ludi-kotorye-zhivut-v-moey-golove-22477971/,Андрей Курпатов,"Лекция «Люди, которые живут в моей голове»",True
6,/betsi-cheys/krolichya-nora-ili-chto-my-znaem-o-sebe-i-vselennoy/,Уильям Арнтц,"Кроличья нора, или Что мы знаем о себе и Вселенной",False
7,/leonard-mlodinov/neo-soznannoe-kak-bessoznatelnyy-um-upravlyaet-nashim-pov/,Леонард Млодинов,(Нео)сознанное. Как бессознательный ум управляет нашим поведением,False
8,/t-v-chernigovskaya/lekciya-mozg-i-tvorchestvo-23311371/,Татьяна Черниговская,Лекция «Мозг и творчество»,True
9,/idriss-aberkan/svobodu-mozgu-chto-skovyvaet-nash-mozg-i-kak-vyrvat-ego-iz-tiskov-v-kotoryh-on-okazalsya/,Идрисс Аберкан,"Свободу мозгу! Что сковывает наш мозг и как вырвать его из тисков, в которых он оказался",False
10,/dzheyn-hoking/byt-hokingom/,Джейн Хокинг,Быть Хокингом,False
11,/mihail-poluektov/lekciya-kak-spat-chtoby-vysypatsya-12547517/,Михаил Полуэктов,"Лекция «Как спать, чтобы высыпаться»",True
12,/kollektiv-avtorov/50-sobytiy-izmenivshih-mir-11816716/,Коллектив авторов,"50 событий, изменивших мир",True
13,/andrey-kurpatov/lekciya-krasnaya-tabletka-mozg-i-psihologiya-33831327/,Андрей Курпатов,Лекция «Красная таблетка. Мозг и психология»,True
