,Link,Author,Title,Is_Audio
0,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
1,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
2,/ayzek-azimov/konec-vechnosti-122306/,Айзек Азимов,Конец вечности,False
3,/yan-leopoldovich-larri/neobyknovennye-priklucheniya-karika-i-vali/,Ян Ларри,Необыкновенные приключения Карика и Вали,False
4,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
5,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
6,/robin-hobb/ubiyca-shuta/,Робин Хобб,Убийца Шута,False
7,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
8,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
9,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
10,/harlan-koben/edinozhdy-solgav/,Харлан Кобен,Единожды солгав,False
11,/gerbert-dzhordzh-uells/chelovek-nevidimka-22208259/,Герберт Уэллс,Человек-невидимка,True
12,/ukio-misima/zolotoy-hram/,Юкио Мисима,Золотой храм,False
13,/luiza-hey/lubov-k-sebe-kak-put-k-zdorovu/,Луиза Хей,Любовь к себе как путь к здоровью,False
14,/yanush-korchak/korol-matiush-pervyy/,Януш Корчак,Король Матиуш Первый,False
15,/mark-levi/mezhdu-nebom-i-zemley/,Марк Леви,Между небом и землей,False
16,/ukio-misima/ispoved-maski/,Юкио Мисима,Исповедь маски,False
17,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
18,/meri-stuart/ternovaya-obitel/,Мэри Стюарт,Терновая обитель,False
19,/diana-uinn-dzhons/ogon-i-zaklyatie-ili-vosem-dney-s-lukom/,Диана Уинн Джонс,"Огонь и заклятие, или Восемь дней с Люком",False
20,/sara-uinman/divnaya-kniga-istin/,Сара Уинман,Дивная книга истин,False
21,/piter-meyl/almaznaya-avantura/,Питер Мейл,Алмазная авантюра,False
22,/dzherald-darrell/tri-bileta-do-edvencher/,Джеральд Даррелл,Три билета до Эдвенчер,False
23,/dzhennifer-linch/tvin-piks-taynyy-dnevnik-lory-palmer/,Дженнифер Линч,Твин-Пикс: Тайный дневник Лоры Палмер,False
24,/aleksey-cherkasov/chernyy-topol/,Алексей Черкасов,Черный тополь,False
25,/eduard-estivil/kak-nauchit-rebenka-spat-revolucionnyy-metod-doktora-estivilya/,Эдуард Эстивиль,Как научить ребенка спать. Революционный метод доктора Эстивиля,False
26,/arthur-konan-doyle/marakotova-bezdna-173316/,Артур Конан Дойл,Маракотова бездна,True
27,/uolter-levin/glazami-fizika-ot-kraya-radugi-k-granice-vremeni/,Уолтер Левин,Глазами физика. От края радуги к границе времени,False
28,/dzheyms-cheyz/delo-o-naezde/,Джеймс Хедли Чейз,Дело о наезде,False
29,/aleksandr-duma/the-three-musketeers-tri-mushketera-173320/,Александр Дюма,The Three Musketeers / Три мушкетера,True
30,/mariya-semenova/vedun-166305/,Мария Семёнова,Ведун,False
31,/teodor-drayzer/stoik-kniga-dlya-chteniya-na-angliyskom-yazyke-11788793/,Теодор Драйзер,Стоик. Книга для чтения на английском языке,False
32,/viktoriya-tokareva/skazat-ne-skazat/,Виктория Токарева,Сказать – не сказать… (сборник),False
33,/gerbert-dzhordzh-uells/ostrov-doktora-moro-22208267/,Герберт Уэллс,Остров доктора Моро,True
34,/mark-levi/kazhdyy-hochet-lubit/,Марк Леви,Каждый хочет любить,False
35,/orhan-pamuk-2/ryzhevolosaya-zhenschina/,Орхан Памук,Рыжеволосая Женщина,False
36,/aleksandr-duma/tri-mushketera-sokraschennyy-pereskaz-173319/,Александр Дюма,Три мушкетера (сокращенный пересказ),True
37,/benedikt-vells/konec-odinochestva/,Бенедикт Велльс,Конец одиночества,False
38,/redyard-kipling/just-so-stories-skazki-173322/,Редьярд Киплинг,Just so Stories / Сказки,True
39,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
40,/r-froning/kak-krossfit-sdelal-menya-samym-fizicheski-podgotovlennym-chelovekom-zemli/,Рич Фронинг,Как кроссфит сделал меня самым физически подготовленным человеком Земли,False
