,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
2,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
3,/rozamunda-pilcher/vozvraschenie-domoy/,Розамунда Пилчер,Возвращение домой,False
4,/karen-uayt/muzyka-vetra/,Карен Уайт,Музыка ветра,False
5,/masha-traub/moya-babushka-lermontov/,Маша Трауб,Моя бабушка – Лермонтов,False
6,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
7,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
8,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
9,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
10,/dzho-fril/bibliya-velosipedista/,Джо Фрил,Библия велосипедиста,False
11,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
12,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
13,/nik-vuychich/bezgranichnost-50-urokov-kotorye-sdelaut-tebya-vozmutitelno-s/,Ник Вуйчич,"Безграничность. 50 уроков, которые сделают тебя возмутительно счастливым",False
14,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
15,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
16,/neyt-kuper/kak-sozdat-sayt-komiks-putevoditel-po-html-css-i-wordp-40469918/,Нейт Купер,"Как создать сайт. Комикс-путеводитель по HTML, CSS и WordPress",False
17,/luk-ollnatt/nebo-prinadlezhit-nam/,Люк Оллнатт,Небо принадлежит нам,False
18,/tess-gerritsen/hirurg-29610533/,Тесс Герритсен,Хирург,True
19,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
20,/dzhonatan-svift/priklucheniya-gullivera-5317314/,Джонатан Свифт,Приключения Гулливера,True
21,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
22,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
23,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
24,/oleg-roy/zov-delfina/,Олег Рой,Зов дельфина,False
25,/makiko-nakamuro/kak-sdelat-chtoby-rebenok-uchilsya-s-udovolstviem-yaponski/,Макико Накамуро,"Как сделать, чтобы ребенок учился с удовольствием? Японские ответы на неразрешимые вопросы",False
26,/bernhard-shlink/letnie-obmany/,Бернхард Шлинк,Летние обманы,False
27,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
28,/bobbi-konner/500-idey-dlya-tvorcheskogo-razvitiya-igraem-izobrazh-24131838/,Бобби Коннер,"500 идей для творческого развития. Играем, изображаем, рисуем, танцуем, поем, пишем, строим, мастерим",False
29,/ketrin-stokett/prisluga-35895435/,Кэтрин Стокетт,Прислуга,True
30,/adel-faber/svobodnye-roditeli-svobodnye-deti/,Элейн Мазлиш,"Свободные родители, свободные дети",False
31,/tuve-yansson/malenkie-trolli-i-bolshoe-navodnenie/,Туве Янссон,Маленькие тролли и большое наводнение,False
32,/bob-batchelor-15159760/sten-li-sozdatel-velikoy-vselennoy-marvel/,Боб Батчелор,Стэн Ли. Создатель великой вселенной Marvel,False
33,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
