,Link,Author,Title,Is_Audio
0,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
1,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
2,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
3,/den-brule/prosto-dyshi-spokoystvie-garmoniya-zdorove-uspeh/,Дэн Брюле,Просто дыши. Спокойствие. Гармония. Здоровье. Успех,False
4,/sofi-kinsella/udivi-menya/,Софи Кинселла,Удиви меня,False
5,/dzhia-dzhiang/a-ya-tebya-net-kak-ne-boyatsya-otkazov-i-idti-naprolom-k-svo/,Джиа Джианг,А я тебя «нет». Как не бояться отказов и идти напролом к своей цели,False
6,/dzhulian-fellouz/snoby/,Джулиан Феллоуз,Снобы,False
7,/sara-edison-allen/saharnaya-koroleva/,Сара Эдисон Аллен,Сахарная королева,False
8,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
9,/aleksey-pehov/iskateli-vetra-19296921/,Алексей Пехов,Искатели ветра,True
10,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
11,/mishel-bussi/poka-ty-ne-spish-22457942/,Мишель Бюсси,Пока ты не спишь,True
12,/mayk-viking/lykke-v-poiskah-sekretov-samyh-schastlivyh-ludey/,Майк Викинг,Lykke. В поисках секретов самых счастливых людей,False
13,/dzhuliya-kouv/luchshe-est-zhit-chuvstvovat-recepty-blud-kotorye-p-38276316/,Джулия Коув,"Лучше есть, жить, чувствовать! Рецепты блюд, которые помогут вам стать здоровыми и счастливыми",False
14,/sergei-dovlatov/oslik-dolzhen-byt-hudym-rasskazy-25438327/,Сергей Довлатов,Ослик должен быть худым. Рассказы,True
15,/brayan-evenson/dead-space-muchenik/,Брайан К. Эвенсон,Dead Space. Мученик,False
16,/gans-hristian-anders/skazki-i-istorii-snezhnaya-koroleva-ole-lukoye-292342/,Ганс Христиан Андерсен,Сказки и истории: Снежная королева. Оле Лукойе. Русалочка. Огниво и другие,True
17,/viktor-dragunskiy/gde-eto-vidano-gde-eto-slyhano-176833/,Виктор Драгунский,"Где это видано, где это слыхано…",True
18,/gennadiy-cyferov/100-skazok-malutok/,Геннадий Цыферов,100 сказок-малюток,True
19,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
20,/adam-ho/deti-i-dengi-kniga-dlya-roditeley-iz-strany-v-kotoroy-nauchilis-effektivno-upravlyat-finansami/,Адам Хо,"Дети и деньги. Книга для родителей из страны, в которой научились эффективно управлять финансами",False
21,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
22,/e-o-chirovici/kniga-zerkal/,Э. О. Чировици,Книга зеркал,False
23,/kris-gardner/v-pogone-za-schastem/,Крис Гарднер,В погоне за счастьем,False
24,/e-kristensen/yoga-dlya-vseh-put-k-zdorovu-2/,Элис Кристенсэн,Йога для всех. Путь к здоровью,False
25,/affiniti-konar/mischling-chuzhekrovka/,Аффинити Конар,Mischling. Чужекровка,False
26,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
27,/mihail-bulgakov/morfiy-i-drugie-rasskazy-178526/,Михаил Булгаков,Морфий и другие рассказы,True
28,/klemmi-huper/kak-vynosit-i-rodit-zdorovogo-malysha-ponedelnoe-rukovodstvo/,Клемми Хупер,Как выносить и родить здорового малыша. Понедельное руководство по беременности и родам прямо из уст акушерки,False
29,/robert-haynlayn/iov-ili-komediya-spravedlivosti/,Роберт Хайнлайн,"Иов, или Комедия справедливости",False
30,/chezare-lombrozo/zhenschina-prestupnica-i-prostitutka-173406/,Чезаре Ломброзо,Женщина – преступница и проститутка,True
31,/nikolay-gogol/viy-5807210/,Николай Гоголь,Вий,True
32,/zhul-vern/deti-kapitana-granta-sokraschennyy-pereskaz-173353/,Жюль Верн,Дети капитана Гранта (сокращенный пересказ),True
33,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
34,/petr-vasilevich-sytin/istorii-moskovskih-ulic-vypusk-2/,Петр Васильевич Сытин,Истории московских улиц. Выпуск 2,True
35,/edgar-po/rasskazy-5317345/,Эдгар Аллан По,Рассказы,True
36,/anton-chehov/chehov-detyam-vanka-5816157/,Антон Чехов,Чехов детям. «Ванька»,True
37,/lev-tolstoy/voskresenie-audiospektakl-5640474/,Лев Толстой,Воскресение. Аудиоспектакль,True
38,/oskar-uayld/portret-doriana-greya-kniga-dlya-chteniya-na-angliysk-13155664/,Оскар Уайльд,Портрет Дориана Грея. Книга для чтения на английском языке,False
39,/gerbert-uells/ostrov-doktora-moro-22208267/,Герберт Уэллс,Остров доктора Моро,True
40,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
41,/valter-skott/talisman-ili-richard-lvinoe-serdce-v-palestine-173405/,Вальтер Скотт,"Талисман, или Ричард Львиное Сердце в Палестине",True
42,/dmitriy-mamin-sibiryak/alenushkiny-skazki-173345/,Дмитрий Мамин-Сибиряк,Аленушкины сказки,True
43,/aleksandr-kuprin/moloh-173513/,Александр Куприн,Молох,True
44,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
45,/lev-tolstoy/voyna-i-mir-toma-z-i-4-v-sokraschenii-173652/,Лев Толстой,Война и мир. Тома З и 4 (в сокращении),True
