,Link,Author,Title,Is_Audio
0,/sergey-bubnovskiy/domashnie-uroki-zdorovya-gimnastika-bez-trenazherov-50-nezamenimyh-uprazhneniy-dlya-doma-i-zala/,Сергей Бубновский,Домашние уроки здоровья. Гимнастика без тренажеров. 50 незаменимых упражнений для дома и зала,False
1,/selen-yiger/bezzhalostnyy-kurs-trenirovok-dlya-celeustremlennyh/,Стейси Симс,Безжалостный курс тренировок для целеустремленных,False
2,/dzhon-delvz/polnoe-pogruzhenie-kak-plavat-luchshe-bystree-i-legche/,Джон Делвз,"Полное погружение. Как плавать лучше, быстрее и легче",False
3,/mariya-sharapova-12131437/neuderzhimaya-moya-zhizn/,Мария Шарапова,Неудержимая. Моя жизнь,False
4,/timoti-ferris/sovershennoe-telo-za-4-chasa-20599967/,Тимоти Феррис,Совершенное тело за 4 часа,True
5,/aleksandr-kolmanovskiy/lekciya-pro-psihotip-i-uverennost-v-sebe-29411189/,Александр Колмановский,Лекция «Про психотип и уверенность в себе»,True
6,/kerol-medzhio/aerobika-dlya-kozhi-i-myshc-lica-kompleks-uprazhneniy-dlya-vosstanovleniya-molodosti-26347735/,Кэрол Мэджио,Аэробика для кожи и мышц лица. Комплекс упражнений для восстановления молодости,False
7,/patrik-farrell/ot-listka-k-lepestku-75-fantasticheskih-bumazhnyh-cvetov-svoimi-rukami-21138347/,Патрик Фаррелл,От листка к лепестку. 75 фантастических бумажных цветов своими руками,False
8,/tereza-zhilevska/stilnaya-zhenskaya-odezhda-na-luboy-tip-figury-sekrety-modelirovaniya-i-dizayna-25739775/,Тереза Жилевска,Стильная женская одежда на любой тип фигуры. Секреты моделирования и дизайна,False
9,/keyt-hadson/prosto-byt-schastlivoy-izmeni-sebya-ne-izmenyaya-sebe/,Кейт Хадсон,"Просто быть счастливой: измени себя, не изменяя себе",False
10,/dzhennifer-l-skott/zhit-kak-madam-shik-sekrety-francuzskogo-sharma-na-kazhdyy-den/,Дженнифер Л. Скотт,Жить как мадам Шик. Секреты французского шарма на каждый день,False
11,/ien-kelli/viven-vestvud/,Иэн Келли,Вивьен Вествуд,False
12,/karlin-chernilya-bechc/buntarki-mody-ikony-stilya-izmenivshie-mir-30483793/,Карлин Чернилья Беччья,"Бунтарки моды. Иконы стиля, изменившие мир",False
13,/karl-lanc/nochnaya-dieta-20618104/,Карл Ланц,Ночная диета,True
14,/inessa-trubeckova/bibliya-stilya-dress-kod-uspeshnoy-zhenschiny-30485648/,Наталия Найденская,Библия стиля. Дресс-код успешной женщины,False
