,Link,Author,Title,Is_Audio
0,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
1,/nil-stivenson/semievie/,Нил Стивенсон,Семиевие,False
2,/ayzek-azimov/konec-vechnosti-122306/,Айзек Азимов,Конец вечности,False
3,/eduard-verkin/ostrov-sahalin/,Эдуард Веркин,Остров Сахалин,False
4,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
5,/luk-ollnatt/nebo-prinadlezhit-nam/,Люк Оллнатт,Небо принадлежит нам,False
6,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
7,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
8,/bernar-verber/zvezdnaya-babochka-9598677/,Бернар Вербер,Звездная бабочка,False
9,/affiniti-konar/mischling-chuzhekrovka/,Аффинити Конар,Mischling. Чужекровка,False
10,/viktoriya-hislop/ostrov/,Виктория Хислоп,Остров,False
11,/denis-celyh/romancev-pravda-obo-mne-i-spartake/,Денис Целых,Романцев. Правда обо мне и «Спартаке»,False
12,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
13,/adrian-shulte/kishechnik-kak-u-tebya-dela/,Адриан Шульте,Кишечник. Как у тебя дела?,False
14,/sesiliya-ahern/s-lubovu-rozi/,Сесилия Ахерн,"С любовью, Рози",False
15,/e-o-chirovici/kniga-zerkal/,Э. О. Чировици,Книга зеркал,False
16,/sara-uinman/samyy-odinokiy-chelovek/,Сара Уинман,Самый одинокий человек,False
17,/piter-meyl/almaznaya-avantura/,Питер Мейл,Алмазная авантюра,False
18,/oliver-bouden/assassin-s-creed-renessans/,Оливер Боуден,Assassin's Creed. Ренессанс,False
19,/madlen-l-engl/izlom-vremeni/,Мадлен Л`Энгл,Излом времени,False
20,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
21,/meri-stuart/ternovaya-obitel/,Мэри Стюарт,Терновая обитель,False
22,/uolter-tevis/peresmeshnik/,Уолтер Тевис,Пересмешник,False
23,/odri-niffenegger/zhena-puteshestvennika-vo-vremeni-3/,Одри Ниффенеггер,Жена путешественника во времени,False
24,/sergey-urskiy/igra-v-zhizn/,Сергей Юрский,Игра в жизнь,False
25,/vladimir-gilyarovskiy/moskva-i-moskvichi-173389/,Владимир Гиляровский,Москва и москвичи,True
26,/zhoze-saramago/dvoynik/,Жозе Сарамаго,Двойник,False
27,/a-iopp/mne-ochen-nravitsya-kurit-no-ya-brosau-2/,Андреас Иопп,Мне очень нравится курить… но я бросаю!,False
28,/erih-mariya-remark/three-comrades-tri-tovarischa-kniga-dlya-chten-37678468/,Эрих Мария Ремарк,Three Comrades / Три товарища. Книга для чтения на английском языке,False
29,/rayan-ferguson/zona-trenirovok-stan-silnee-bystree-i-umnee/,Райан Фергюсон,"Зона тренировок. Стань сильнее, быстрее и умнее",False
