,To,Promocode,Description,Collection,%,Path
0,2019-09-01 00:00:00,https://www.litres.ru/luchshie-knigi/?cpc50,Скидка 50% на один заказ на любую сумму,,50,---
1,2019-09-01 00:00:00,https://www.litres.ru/?bibl50,Скидка 50% на одну покупку,,50,---
2,2019-09-01 00:00:00,https://www.litres.ru/?cpc50winter,Скидка 50% на все электронные книги,,50,---
3,2019-09-01 00:00:00,TOPADVERT50AUTMN,Скидка 50% на всё в течение 3 дней после активации,,50,---
4,2019-08-31 00:00:00,https://www.litres.ru/?leto,Скидка 50% на первую покупку,,50,---
5,2019-08-31 00:00:00,LETO,Скидка 50% на один заказ в течение 3-х дней,,50,---
6,2019-08-31 00:00:00,https://www.litres.ru/?leto2,Скидка 50% на одну покупку в течение 3-х дней после активации,,50,---
7,2019-09-01 00:00:00,GOODNOTA40,Скидка 40% на весь каталог книг,,40,---
8,2019-09-01 00:00:00,https://www.litres.ru/?buro,Скидка 40% на весь каталог в течение 3-х дней после активации,,40,---
9,2019-09-01 00:00:00, ONLINETOURS ONLINETOURS2 ,Скидка 40% на всё + 2 книги от Onlinetours,https://www.litres.ru/kollekcii-knig/podarok-ot-onlinetours-i-litres/,40,kollekcii-knig_podarok-ot-onlinetours-i-litres.csv
10,2019-09-01 00:00:00,https://www.litres.ru/?cpc40,Скидка 40% на все электронные книги,,40,---
11,2019-08-03 00:00:00,https://www.litres.ru/?antiutopia19,Скидка 35% на все книги по тэгу #антиутопия,,35,---
12,2019-09-01 00:00:00,SBERMAIL05,Скидка 30% на всё + 2 книги на выбор от Сбербанк,https://www.litres.ru/kollekcii-knig/litres-i-sberbank-2-knigi-v-podarok-i-skidka-30/,30,kollekcii-knig_litres-i-sberbank-2-knigi-v-podarok-i-skidka-30.csv
13,2019-07-31 00:00:00,https://www.litres.ru/?mnogo30ss,Скидка 30% на весь каталог,,30,---
14,2019-09-01 00:00:00,GLAMBOX,Скидка 30% на всё + 1 бесплатная книга от GlamBox,https://www.litres.ru/kollekcii-knig/vasha-kniga-v-podarok-ot-litres-i-glambox/,30,kollekcii-knig_vasha-kniga-v-podarok-ot-litres-i-glambox.csv
15,2019-09-01 00:00:00,4OZONREADENG,Скидка 30% на учебную литературу + Великий Гэтсби в подарок,https://www.litres.ru/frensis-skott-ficdzh/velikiy-getsbi-kniga-dlya-chteniya-na-angliy-11977951/,30,frensis-skott-ficdzh_velikiy-getsbi-kniga-dlya-chteniya-na-angliy-11977951.csv
16,2019-09-01 00:00:00, S7LETO19 S7MAY19 ,Скидка 30% на всё + 2 книги на выбор от S7 Airlines,https://www.litres.ru/kollekcii-knig/provedi-mayskie-s-polzoy-2-knigi-v-podarok-i-skidka-30-ot-s7-i-litres/,30,kollekcii-knig_provedi-mayskie-s-polzoy-2-knigi-v-podarok-i-skidka-30-ot-s7-i-litres.csv
17,2019-09-01 00:00:00,https://www.litres.ru/kollekcii-knig/predzakaz-so-skidkoy-30/,Скидка 30% на предзаказ книг,,30,---
18,2019-09-01 00:00:00,SBEREMAIL04,Скидка 30% на всё + 2 книги на выбор от Сбербанк,https://www.litres.ru/kollekcii-knig/kniga-v-podarok-i-skidka-30-ot-litres-i-sberbanka/,30,kollekcii-knig_kniga-v-podarok-i-skidka-30-ot-litres-i-sberbanka.csv
19,2019-09-01 00:00:00,SBERID08,Скидка 30% на всё + 1 книга на выбор от Сбербанк,https://www.litres.ru/kollekcii-knig/knigi-v-podarok-ot-litres-i-sberbank-id/,30,kollekcii-knig_knigi-v-podarok-ot-litres-i-sberbank-id.csv
20,2019-09-01 00:00:00,TRICOLORTV0419,Скидка 30% на всё + 3 книги от Триколор ТВ,https://www.litres.ru/kollekcii-knig/kniga-v-podarok-i-30-skidka-ot-litres-i-trikolor-tv/,30,kollekcii-knig_kniga-v-podarok-i-30-skidka-ot-litres-i-trikolor-tv.csv
21,2019-09-01 00:00:00,https://www.litres.ru/?gk0619,Скидка 30% на всё + 2 книги от Geek Brains,https://www.litres.ru/kollekcii-knig/dve-knigi-v-podarok-i-skidka-30-ot-geek-brains-i-litres/,30,kollekcii-knig_dve-knigi-v-podarok-i-skidka-30-ot-geek-brains-i-litres.csv
22,2019-09-01 00:00:00,https://www.litres.ru/?adamas0119,Скидка 30% на всё + 1 книга в подарок от Адамас,https://www.litres.ru/kollekcii-knig/adamas-kniga-v-podarok-i-skida-30-na-vse-53178/,30,kollekcii-knig_adamas-kniga-v-podarok-i-skida-30-na-vse-53178.csv
23,2019-09-01 00:00:00,https://www.litres.ru/?gb1118,Скидка 30% на всё + 2 книги от GeekBrains,https://www.litres.ru/kollekcii-knig/geekbrains-kniga-v-podarok-i-skidka-30-47814/,30,kollekcii-knig_geekbrains-kniga-v-podarok-i-skidka-30-47814.csv
24,2019-09-01 00:00:00,https://www.litres.ru/?alfa30,Скидка 30% на все книги в течение 3 дней,,30,---
25,2019-09-01 00:00:00,https://www.litres.ru/?openbirthday,Скидка 30% на всё + 3 книги от банка Открытие,https://www.litres.ru/kollekcii-knig/podarok-na-den-rozhdeniya-klientam-banka-otkrytie/,30,kollekcii-knig_podarok-na-den-rozhdeniya-klientam-banka-otkrytie.csv
26,2019-09-01 00:00:00,https://www.litres.ru/?ll30may2018,Скидка 30% на электронные и аудио книги,,30,---
27,2019-09-01 00:00:00,https://www.litres.ru/?letosS7,Скидка 30% на всё + 2 книги от S7 Airlines,https://www.litres.ru/kollekcii-knig/provedi-mayskie-s-polzoy-2-knigi-v-podarok-i-skidka-30-ot-s7-i-litres/,30,kollekcii-knig_provedi-mayskie-s-polzoy-2-knigi-v-podarok-i-skidka-30-ot-s7-i-litres.csv
28,2019-09-01 00:00:00,DOM3006,Скидка 30% на всё + 3 бесплатные книги от Dom.ru,https://www.litres.ru/kollekcii-knig/s-dnem-rozhdeniya-ot-litres-i-dom-ru/,30,kollekcii-knig_s-dnem-rozhdeniya-ot-litres-i-dom-ru.csv
29,2019-09-01 00:00:00,SBERFAMILY,Скидка 30% на всё + 1 книга от Сбербанка,https://www.litres.ru/kollekcii-knig/1-kniga-v-podarok-ot-litres-i-sberbanka/,30,kollekcii-knig_1-kniga-v-podarok-ot-litres-i-sberbanka.csv
30,2019-09-01 00:00:00,https://www.litres.ru/?netology0719,Скидка 30% на всё + 2 книги в подарок от Нетология,https://www.litres.ru/kollekcii-knig/netologiya-2-knigi-v-podarok-i-skidka-30-na-vse/,30,kollekcii-knig_netologiya-2-knigi-v-podarok-i-skidka-30-na-vse.csv
31,2019-09-01 00:00:00,S7BIRTHDAY,Скидка 30% на всё + 2 книги от S7 Airlines,https://www.litres.ru/kollekcii-knig/2-knigi-v-podarok-i-skidka-30-ot-litres-i-s7/,30,kollekcii-knig_2-knigi-v-podarok-i-skidka-30-ot-litres-i-s7.csv
32,2019-09-01 00:00:00,SBERBIRTHDAY2,Скидка 30% на всё + 5 книг от Сбербанка,https://www.litres.ru/kollekcii-knig/vash-podarok-45580/,30,kollekcii-knig_vash-podarok-45580.csv
33,2019-09-01 00:00:00,https://www.litres.ru/?tele2719,Скидка 30% на всё + 3 книги в подарок от Tele2,https://www.litres.ru/kollekcii-knig/podarok-ot-tele2-i-litres-3-knigi-v-podarok-i-skidka-30-na-ves-katalog/,30,kollekcii-knig_podarok-ot-tele2-i-litres-3-knigi-v-podarok-i-skidka-30-na-ves-katalog.csv
34,2019-09-01 00:00:00,SBERBIRTHDAY,Скидка 30% на всё + 5 книг от Сбербанка,https://www.litres.ru/kollekcii-knig/podarok-ot-litres-i-sberbanka-na-den-rozhdeniya-69082/,30,kollekcii-knig_podarok-ot-litres-i-sberbanka-na-den-rozhdeniya-69082.csv
35,2019-08-04 00:00:00,https://www.litres.ru/kollekcii-knig/dobavte-zvuk-audiohity-alpiny-so-skidkoy-30/,"Скидка 30% на аудиокниги от ""Альпина Паблишер""",,30,---
36,2019-09-01 00:00:00,https://www.litres.ru/?digitale0718,Скидка 25% на всё + 1 бесплатная книга от Digitale,https://www.litres.ru/kollekcii-knig/podarok-ot-digitale/,25,kollekcii-knig_podarok-ot-digitale.csv
37,2019-09-01 00:00:00,GEEKPICNIC,Скидка 25% на всё + 1 книга от Geek picnic,https://www.litres.ru/kollekcii-knig/geek-picnic-i-litres-daryat-knigi/,25,kollekcii-knig_geek-picnic-i-litres-daryat-knigi.csv
38,2019-09-01 00:00:00,https://www.litres.ru/?vtblk0918,Скидка 25% на всё + 1 бесплатная книга от ВТБ,https://www.litres.ru/kollekcii-knig/vtb-kniga-v-podarok-i-skidka-25-na-ves-katalog-litres/,25,kollekcii-knig_vtb-kniga-v-podarok-i-skidka-25-na-ves-katalog-litres.csv
39,2019-09-01 00:00:00,https://www.litres.ru/?kinohodmailing,Скидка 25% на всё + 1 книга от Киноход,https://www.litres.ru/kollekcii-knig/kinohod-i-litres-daryat-knigi/,25,kollekcii-knig_kinohod-i-litres-daryat-knigi.csv
40,2019-09-01 00:00:00,NIGHTRUN,Скидка 25% на всё + 1 книга от Ночной забег,https://www.litres.ru/kollekcii-knig/nochnoy-zabeg-i-litres-daryat-knigi/,25,kollekcii-knig_nochnoy-zabeg-i-litres-daryat-knigi.csv
41,2019-09-01 00:00:00,https://www.litres.ru/?engdom0719,Скидка 25% на всё + 1 книга от EnglishDom,https://www.litres.ru/kollekcii-knig/englishdom-kniga-v-podarok-i-skidka-20-46783/,25,kollekcii-knig_englishdom-kniga-v-podarok-i-skidka-20-46783.csv
42,2019-09-01 00:00:00,https://www.litres.ru/?giftfrombabyru,Скидка 25% на всё + 1 книга в подарок от Baby.ru,https://www.litres.ru/kollekcii-knig/kniga-v-podarok-i-skidka-25-ot-baby-ru-i-litres-37046/,25,kollekcii-knig_kniga-v-podarok-i-skidka-25-ot-baby-ru-i-litres-37046.csv
43,2019-09-01 00:00:00,https://www.litres.ru/?maxima,Скидка 25% на всё + 1 книга в подарок от Wi-Fi.ru,https://www.litres.ru/kollekcii-knig/maxima-telecom-cppk-i-litres-daryat-knigi-53145/,25,kollekcii-knig_maxima-telecom-cppk-i-litres-daryat-knigi-53145.csv
44,2019-09-01 00:00:00, MISS_LETO KASE_LETO ULETIMRU_LETO ,Скидка 25% на всё + 2 книги к летнему отпуску,https://www.litres.ru/kollekcii-knig/litres-darit-knigi-k-letnemu-otpusku/,25,kollekcii-knig_litres-darit-knigi-k-letnemu-otpusku.csv
45,2019-09-01 00:00:00,https://www.litres.ru/?ag25,Скидка 25% на всё в течение 1 дня после активации,,25,---
46,2019-09-01 00:00:00,MEGA2019,Скидка 25% на всё + 3 книги от Мега Краснодар 2019,https://www.litres.ru/kollekcii-knig/mega-krasnodar-2019/,25,kollekcii-knig_mega-krasnodar-2019.csv
47,2019-09-01 00:00:00, [автокод] PRIMESTAR6 PRIMESTAR5 ,Скидка 25% на всё + 1 бесплатная книга от Prime,https://www.litres.ru/kollekcii-knig/kniga-v-podarok-ot-prime-i-litres/,25,kollekcii-knig_kniga-v-podarok-ot-prime-i-litres.csv
48,2019-08-30 00:00:00,https://www.litres.ru/?metrospb,Скидка 25% на всё + 3 книги от SPB.WI-FI.RU,https://www.litres.ru/kollekcii-knig/akciya-sankt-peterburgskogo-metropolitena-i-litres/,25,kollekcii-knig_akciya-sankt-peterburgskogo-metropolitena-i-litres.csv
